username,comment_text,timestamp,source
@InfoPapandayan,Click to Follow InfoPapandayan,,x
@Papandayan6C,Click to Follow Papandayan6C,,x
@papandayan,Click to Follow papandayan,,x
reta,Jul 19,https://x.com/colourednightz/status/1946530862809391483,x
sau ₊˚⊹♡,Aug 3,https://x.com/saucesangster/status/1951898852279439712,x
mutiaaa,Jul 24,https://x.com/myssweatheart/status/1948303721915633905,x
Inventory,Jul 26,https://x.com/current_asset/status/1948977982225482049,x
@myssweatheart,Jul 24,,x
Inventory,Jul 26,https://x.com/current_asset/status/1948977982225482049,x
SUGONDESE,Aug 6,https://x.com/sugondese6666/status/1953037665818869989,x
reta,Jul 21,https://x.com/colourednightz/status/1947227649924837479,x
caca 𐙚,23h,https://x.com/cacaajnjm/status/1953441815945978313,x
SUGONDESE,Aug 6,https://x.com/sugondese6666/status/1953037665818869989,x
biw,Jul 19,https://x.com/bibibibiiw/status/1946580511578865734,x
mow :p,Jul 19,https://x.com/bandlarsabu/status/1946545588352225651,x
diaa ❀,Jul 21,https://x.com/dioctoberrr/status/1947268054720880747,x
nini,Aug 2,https://x.com/ninikyungso_/status/1951640549464641660,x
aya (ﾉ･ｪ･)ﾉ,Jul 29,https://x.com/ayaisketching/status/1950056705498161564,x
San~,30m,https://x.com/Sandy69b/status/1953792477380399615,x
ssafëy,Aug 4,https://x.com/privssapp/status/1952364595391483954,x
퀸,Aug 6,https://x.com/queenssff/status/1952975095884070972,x
pitray,Jul 13,https://x.com/fitriaarhy/status/1944125832953573538,x
EAN,Jul 26,https://x.com/deanmaha/status/1949038817471582370,x
Roblox Fess,Jul 21,https://x.com/roblox_fess/status/1947305744325361790,x
Bli,Jul 17,https://x.com/dvraken/status/1945663233098187046,x
pitray,Jul 13,https://x.com/fitriaarhy/status/1944125832953573538,x
Kucing Oren,Jul 12,https://x.com/byrigss/status/1943919738675245200,x
jo(r)ji,Jul 26,https://x.com/grgannisa/status/1949114746860618204,x
jel,Jul 13,https://x.com/slovvanimal/status/1944306426840854796,x
Georitmus,Jul 16,https://x.com/zakiberkata/status/1945321692022366286,x
mars 𓍯,Aug 3,https://x.com/asmarrasya/status/1951842786220908750,x
Kanaa かな,Jul 13,https://x.com/Kanabel_/status/1944411247245492575,x
han!,Jul 14,https://x.com/lylliya/status/1944623543549034846,x
𝗖𝗵𝗲𝗼𝗻𝘀𝗮.,Jul 4,https://x.com/cheyonsa/status/1941166306352640001,x
Eric Dwiputra,Aug 7,https://x.com/EricDwiputraa/status/1953170575964422617,x
m,Jul 6,https://x.com/mexhausteddd/status/1941815721165779331,x
𝐔ji.,Jul 13,https://x.com/dagum/status/1944181615384564209,x
éL,Jul 19,https://x.com/1L6E2a3/status/1946561299934056582,x
Van,Jul 12,https://x.com/camelliaspage/status/1943988404322283533,x
némo,Jul 15,https://x.com/ar_ackub/status/1945030717425188974,x
heevenly ⪩. .⪨ kinda ia,Jul 18,https://x.com/01___heeseung/status/1946220163579380198,x
vin,Jul 13,https://x.com/vintaydilfs/status/1944419033526485146,x
dini,Jul 14,https://x.com/jimmyyjpwife/status/1944481696105263162,x
king maytinez,Jul 18,https://x.com/marghozy/status/1946135563888951758,x
✩˚｡⋆,Jul 21,https://x.com/Imzellpit/status/1947176485531553816,x
𝗖𝗵𝗲𝗼𝗻𝘀𝗮.,Jul 15,https://x.com/cheyonsa/status/1944805715148788015,x
cantarella ᯓᡣ𐭩,Jul 12,https://x.com/unaecorn/status/1944045712297406634,x
FAUVSM ⨀,Jul 18,https://x.com/fauvsm_/status/1946122677124845966,x
detikcom,Jul 18,https://x.com/detikcom/status/1946051123787518164,x
dinastuy,Jul 26,https://x.com/oceanpiebella/status/1949025294716957098,x
fa,Jul 8,https://x.com/fa_eonni/status/1942587747795181943,x
Senja,22h,https://x.com/mawar_layu15/status/1953462056910266831,x
Al•` ..,Jul 20,https://x.com/dandelionjkey/status/1946969026963632217,x
"meyy, gaoaoa sumoah",Aug 6,https://x.com/ciaoamey/status/1953067039519817964,x
PT. Apex Industri Nusantara,Jul 16,https://x.com/ApexNusantara/status/1945394720647053709,x
Nit,Jul 20,https://x.com/taajs_/status/1946913981987463337,x
jen 𖧁୧,Jul 25,https://x.com/meowsaurrus/status/1948542416090501494,x
zek,Jul 19,https://x.com/robotdiesel/status/1946483902727729406,x
re,Aug 6,https://x.com/ererainelle/status/1952940992124051704,x
fani pake i,Aug 1,https://x.com/funnythingshr/status/1951269732369441027,x
cay,Jul 12,https://x.com/chevchive/status/1943875285637562598,x
bibiy,Jul 28,https://x.com/bunnybanbinbun/status/1949712697358229786,x
va,Aug 2,https://x.com/avanilladdict/status/1951555304774049823,x
anna,Jul 17,https://x.com/aestheryn/status/1945544028034142348,x
cheXa ☆,Jul 17,https://x.com/pourkyeomchan/status/1945871524306784292,x
ray,Jul 17,https://x.com/sucralfatee/status/1945859236237353272,x
muhsin,Aug 3,https://x.com/nextsien/status/1952033196524380395,x
ssafëy,Jul 22,https://x.com/privssapp/status/1947411571367706878,x
zy yeager,Aug 3,https://x.com/matchacheze/status/1951718333990248776,x
✶,Jul 7,https://x.com/rreadresistance/status/1941909435867435045,x
Cyaa,Jul 22,https://x.com/cerifest/status/1947520168684622024,x
fajarmaulana,Aug 4,https://x.com/cyanitric/status/1952227170505642143,x
"Daf - Kang Cerita, Kang Gambar",Jul 19,https://x.com/pergijauhkealam/status/1946521296755712015,x
fajarmaulana,Aug 4,https://x.com/cyanitric/status/1952227170505642143,x
Sya,Jul 14,https://x.com/nutelazz/status/1944617477209825700,x
aiueo,Aug 5,https://x.com/hey_stobb_it/status/1952766633703084263,x
shinnnn (hibernasi),Jul 23,https://x.com/jinjeanjwan/status/1947714553539944832,x
fani pake i,Aug 6,https://x.com/funnythingshr/status/1953058166012555759,x
蓮。,Aug 3,https://x.com/aumorfati/status/1951866945977864304,x
fajarmaulana,Aug 4,https://x.com/cyanitric/status/1952227170505642143,x
Unpadfess X Scrummy Eats Catering Jatinangor,Jul 11,https://x.com/draftanakunpad4/status/1943620342800437681,x
person,Aug 5,https://x.com/kmspak/status/1952562263967302129,x
Risal,Jul 18,https://x.com/LaSir100/status/1946108055244210636,x
Argo Throttle,Jul 26,https://x.com/argothrottle/status/1949090691176616059,x
syalalalalala,7h,https://x.com/icreamscoop/status/1953693721200902600,x
