css-175oi2r_href,css-9pa8cd_src,css-1jxf684,css-1jxf684_2,css-1jxf684_3,r-4qtqp9_src_2,css-1jxf684_4,css-175oi2r_href_4,css-9pa8cd_src_2,css-175oi2r_href_5,css-1jxf684_5,css-1jxf684_6,css-1jxf684_7,css-1jxf684_8,css-1jxf684_9,css-1jxf684_10,css-1jxf684_11,css-146c3p1_href,css-146c3p1,r-1p0dtai_src,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26,unnamed:_27,unnamed:_28
https://x.com/itsufika,https://pbs.twimg.com/profile_images/1856392971161329664/Xn2EBtJa_bigger.jpg,Pikachu,@itsufika,"In this economy… nemu baso aci isian lengkap banget cuma 13k, mana packagingnya juaraa",https://abs-0.twimg.com/emoji/v2/svg/2728.svg,"Yang jumbo ada isian ayam suwir sama jando, kuahnya seger pedes asem gurih—mantep banget euy!",https://x.com/itsufika/status/1957327463954231760/photo/1,https://pbs.twimg.com/media/GynS8h-acAAGJym?format=jpg&name=small,https://x.com/itsufika/status/1957327463954231760/photo/2,1.23 PM · 18 Agt 2025,·,5.232,Tayangan,46,74,162,,,,,,,,,,,,
https://x.com/itsufika,https://pbs.twimg.com/profile_images/1856392971161329664/Xn2EBtJa_bigger.jpg,Pikachu,@itsufika,·,https://abs-0.twimg.com/emoji/v2/svg/1f449.svg,Pecinta baso aci wajib coba,https://x.com/itsufika/status/1957327479854555472/photo/1,https://pbs.twimg.com/media/GynS9pUbEAA_dh7?format=jpg&name=900x900,https://x.com/itsufika/status/1957327479854555472/analytics,"Truly a hidden gem in this economy. 

belinya disini",s.shopee.co.id/5feegZKPke,https://,Endul pisan euyyy,btw di kalian dapet harga berapa guys?,11,465,https://x.com/itsufika/status/1957327479854555472,18 Agt,,,,,,,,,,
https://x.com/TrivExchange,https://pbs.twimg.com/profile_images/1561906085044244481/KfvPWb2E_bigger.jpg,Triv Exchange,@TrivExchange,Lanjutkan perjalanan investasimu di awal tahun bareng TRIV dengan Staking Crypto dan dapatkan dividen setiap hari nya !,,0:02 / 0:34,https://x.com/TrivExchange/status/1749462676840050891/analytics,,,104,60,757,5 jt,Dipromosikan,,,https://triv.co.id/aff/twit1?twclid=22slrsxm4bacy3nj72tabatsjx,Dari triv.co.id,blob:https://x.com/3d540e3a-44b2-4e3a-b591-3f97c75fc083,,,,,,,,,
https://x.com/oiiputcat,https://pbs.twimg.com/profile_images/1954049462739025920/0yB_5_DH_bigger.jpg,putcat՞,@oiiputcat,·,,ihh mantep bgt baso aci yg gede nya ga cuma satu,https://x.com/oiiputcat/status/1957331893206098404/analytics,,,1,1,126,,,,,https://x.com/oiiputcat/status/1957331893206098404,18 Agt,,,,,,,,,,
https://x.com/itsufika,https://pbs.twimg.com/profile_images/1856392971161329664/Xn2EBtJa_bigger.jpg,Pikachu,@itsufika,·,,"Ada 4 malah, yang kecil 3",,,https://x.com/itsufika/status/1957334649610625149/analytics,,,,,,1,91,https://x.com/itsufika/status/1957334649610625149,18 Agt,,,,,,,,,,
https://x.com/TrivExchange,https://pbs.twimg.com/profile_images/1561906085044244481/KfvPWb2E_bigger.jpg,Triv Exchange,@TrivExchange,Lanjutkan perjalanan investasimu di awal tahun bareng TRIV dengan Staking Crypto dan dapatkan dividen setiap hari nya !,,0:31,https://x.com/TrivExchange/status/1749462676840050891/analytics,,,104,60,757,5 jt,Dipromosikan,TRIV - Beli & Staking Crypto,,https://triv.co.id/aff/twit1?twclid=22slrsxm4bacy3nj72tabatsjx,Dari triv.co.id,blob:https://x.com/3d540e3a-44b2-4e3a-b591-3f97c75fc083,,,,,,,,,
https://x.com/grinndey,https://pbs.twimg.com/profile_images/1947525251094736896/Z9q2wKDU_bigger.jpg,𝙍𝙖𝙜𝙞𝙗,@grinndey,·,https://abs-0.twimg.com/emoji/v2/svg/1f3a7.svg,awet brp lama ya fik? Pengen nyetok biar ga dikit2 beli,,,https://x.com/grinndey/status/1957472610280960012/analytics,,,,,,,35,https://x.com/grinndey/status/1957472610280960012,18 Agt,,,,,,,,,,
https://x.com/ayanav_,https://pbs.twimg.com/profile_images/1581167560300453889/KFyfdwaW_bigger.jpg,Aya,@ayanav_,·,,Bikin penasaran pengen nyobain nih,,,https://x.com/ayanav_/status/1957502643456385188/analytics,,,,,,,27,https://x.com/ayanav_/status/1957502643456385188,19 Agt,,,,,,,,,,
https://x.com/ezteh_maniez,https://pbs.twimg.com/profile_images/1916275162686828544/O4ij0VV0_bigger.jpg,L U N A,@ezteh_maniez,·,,Hmm jadi kayak gt ya kalo single,https://help.x.com/rules-and-policies/authenticity,https://abs.twimg.com/responsive-web/client-web/parody-mask.92274f0a.svg,https://x.com/ezteh_maniez/status/1957497579777978648/analytics,Akun parodi,,,,,,11,https://x.com/ezteh_maniez/status/1957497579777978648,19 Agt,,,,,,,,,,
https://x.com/dewafortunaa,https://pbs.twimg.com/profile_images/1905215374418903040/sOqAxOyw_bigger.jpg,Kang Defor,@dewafortunaa,·,https://abs-0.twimg.com/emoji/v2/svg/1f1ee-1f1e9.svg,aduhh tbtb pen baso aci put,,,https://x.com/dewafortunaa/status/1957378630910403055/analytics,,,,,,,82,https://x.com/dewafortunaa/status/1957378630910403055,18 Agt,,,,,,,,,,
https://x.com/punaidaon,https://pbs.twimg.com/profile_images/1929459388462592000/6KSZbLPS_bigger.jpg,coffeemix.,@punaidaon,·,,"Aku lebih suka bakso sapi, kalo aci tuh kenyal kenyal",,,https://x.com/punaidaon/status/1957374383972024359/analytics,,,,,,,22,https://x.com/punaidaon/status/1957374383972024359,18 Agt,,,,,,,,,,
https://x.com/ohygil,https://pbs.twimg.com/profile_images/1881905856868147200/ZSr2GumC_bigger.jpg,achel,@ohygil,·,,buset tapi emang murah poll sih,,,https://x.com/ohygil/status/1957521034787319820/analytics,,,,,,,14,https://x.com/ohygil/status/1957521034787319820,19 Agt,,,,,,,,,,
https://x.com/alikabarbar,https://pbs.twimg.com/profile_images/1947296390771822592/ODIm0auQ_bigger.jpg,alika,@alikabarbar,·,https://abs-0.twimg.com/emoji/v2/svg/1f9dc-200d-2640-fe0f.svg,Jadi pengen nyobain deh,,,https://x.com/alikabarbar/status/1957420958534578569/analytics,,,,,,,27,https://x.com/alikabarbar/status/1957420958534578569,18 Agt,,,,,,,,,,
https://x.com/premium,https://pbs.twimg.com/profile_images/1683366300054069248/67v23AEj_bigger.jpg,Premium,@premium,Enjoy the best experience on X.,,,https://x.com/premium/status/1952590396653207656/analytics,https://pbs.twimg.com/profile_images/1955359038532653056/OSHY3ewP_bigger.jpg,,1 rb,18 rb,,207 jt,Dipromosikan,,,https://x.com/i/premium_sign_up?tier=premium&referring_page=ad_static_generalmark&twclid=2-57ctf583lhps8bmhvxiwk8eec,Dari x.com,blob:https://x.com/9b5f227a-f838-4917-9778-53082177f7cd,,,,,,,,,
https://x.com/TrivExchange,https://pbs.twimg.com/profile_images/1561906085044244481/KfvPWb2E_bigger.jpg,Triv Exchange,@TrivExchange,Lanjutkan perjalanan investasimu di awal tahun bareng TRIV dengan Staking Crypto dan dapatkan dividen setiap hari nya !,,0:05 / 0:34,https://x.com/TrivExchange/status/1749462676840050891/analytics,,,104,60,757,5 jt,Dipromosikan,,,https://triv.co.id/aff/twit1?twclid=22slrsxm4bacy3nj72tabatsjx,Dari triv.co.id,blob:https://x.com/3d540e3a-44b2-4e3a-b591-3f97c75fc083,,,,,,,,,
https://x.com/sojoyus,https://pbs.twimg.com/profile_images/1941408831311142912/T2qx9u6i_bigger.jpg,cimaciiiim,@sojoyus,·,,13rb murah banget yaa ternyata,https://help.x.com/rules-and-policies/authenticity,https://abs.twimg.com/responsive-web/client-web/parody-mask.92274f0a.svg,https://x.com/sojoyus/status/1957440317533389121/analytics,Akun parodi,,,,,,23,https://x.com/sojoyus/status/1957440317533389121,18 Agt,,,,,,,,,,
https://x.com/peachypuch,https://pbs.twimg.com/profile_images/1946542651890618368/4W2OpCHP_bigger.jpg,Puch,@peachypuch,·,https://abs-0.twimg.com/emoji/v2/svg/1f351.svg,Tambahin telur enak tuh kak,,,https://x.com/peachypuch/status/1957469170960138616/analytics,,,,,,,10,https://x.com/peachypuch/status/1957469170960138616,18 Agt,,,,,,,,,,
https://x.com/strssovrld,https://pbs.twimg.com/profile_images/1680375028045713408/aEsV-WzC_bigger.jpg,Strssbgt,@strssovrld,·,,Aku lah salah satu orang yang suka baso aci,,,https://x.com/strssovrld/status/1957498817999433788/analytics,,,,,,,24,https://x.com/strssovrld/status/1957498817999433788,19 Agt,,,,,,,,,,
https://x.com/untitled246,https://pbs.twimg.com/profile_images/1809127733852786688/yrrg6QlT_bigger.jpg,bunga hati,@untitled246,·,,Yang suka baso aci harua liar,,,https://x.com/untitled246/status/1957353223507066961/analytics,,,,,,,50,https://x.com/untitled246/status/1957353223507066961,18 Agt,,,,,,,,,,
https://x.com/cxdarel,https://pbs.twimg.com/profile_images/1942934352091918336/-EWmU9--_bigger.jpg,𝐑𝐄_,@cxdarel,·,,Kok bisa murah banget sih harganya,https://help.x.com/rules-and-policies/authenticity,https://abs.twimg.com/responsive-web/client-web/parody-mask.92274f0a.svg,https://x.com/cxdarel/status/1957336413810421899/analytics,Akun parodi,,,,,,31,https://x.com/cxdarel/status/1957336413810421899,18 Agt,,,,,,,,,,
https://x.com/paracetamoods,https://pbs.twimg.com/profile_images/1825561586083495936/uppg3rS4_bigger.jpg,Paracetamoods,@paracetamoods,·,,Udah lama gue ga makan ini,,,https://x.com/paracetamoods/status/1957433314975117763/analytics,,,,,,,22,https://x.com/paracetamoods/status/1957433314975117763,18 Agt,,,,,,,,,,
https://x.com/SonyPicturesID,https://pbs.twimg.com/profile_images/1783721844266487808/dWrGRJK8_bigger.jpg,Sony Pictures Indonesia,@SonyPicturesID,"Dakota Johnson sebagai Lucy bimbang, harus pilih Pedro Pascal sebagai Harry pria matang yang penuh pesona atau Chris Evans sebagai John yang bikin nyaman? Kalau kamu di posisi Lucy, pilih siapa? Saksikan Materialists di bioskop!",,0:02 / 0:15,https://x.com/SonyPicturesID/status/1956018421449285867/analytics,,,5,29,231,1 jt,Dipromosikan,,,https://www.youtube.com/watch?v=GHrHH_I1WFg&twclid=21ugzis189i5e2up36uf5i86v7,Dari youtube.com,blob:https://x.com/b3d0fee1-70fa-4c88-bee5-fb971c45f951,,,,,,,,,
https://x.com/txtlongtong,https://pbs.twimg.com/profile_images/1846952572227371008/5Qg4xPM4_bigger.jpg,the longtong,@txtlongtong,·,,"Wow, saya jadi lapar",,,https://x.com/txtlongtong/status/1957382603037700311/analytics,,,,,,,95,https://x.com/txtlongtong/status/1957382603037700311,18 Agt,,,,,,,,,,
https://x.com/reveriekeona,https://pbs.twimg.com/profile_images/1892349223460626432/S7wyGRE1_bigger.jpg,reverie keona,@reveriekeona,·,,jadi pengen mam ini aku,https://help.x.com/rules-and-policies/authenticity,https://abs.twimg.com/responsive-web/client-web/parody-mask.92274f0a.svg,https://x.com/reveriekeona/status/1957399489544917298/analytics,Akun parodi,,,,,,20,https://x.com/reveriekeona/status/1957399489544917298,18 Agt,,,,,,,,,,
https://x.com/Bersajak_id,https://pbs.twimg.com/profile_images/1563178581101928450/ZTwKWkpy_bigger.jpg,Bersajak,@Bersajak_id,·,,pasti enak ya ini,,,https://x.com/Bersajak_id/status/1957496967631896685/analytics,,,,,,1,72,https://x.com/Bersajak_id/status/1957496967631896685,19 Agt,,,,,,,,,,
,,Postingan ini tidak tersedia.,Pelajari lebih lanjut,,,,,,,,,,,,,,,,,,,,,,,,,
https://x.com/randoscope,https://pbs.twimg.com/profile_images/1946785309292707840/b6PSFIRa_bigger.jpg,Random Scope,@randoscope,·,,Ow like a delicious,,,https://x.com/randoscope/status/1957443292280570031/analytics,,,,,,,7,https://x.com/randoscope/status/1957443292280570031,18 Agt,,,,,,,,,,
https://x.com/cyleshy,https://pbs.twimg.com/profile_images/1937400999565754368/0CGMe6e5_bigger.jpg,𝖊𝖘𝖙𝖊,@cyleshy,·,,ih kayanya enak banget deh,,,https://x.com/cyleshy/status/1957406106394694043/analytics,,,,,,,11,https://x.com/cyleshy/status/1957406106394694043,18 Agt,,,,,,,,,,
https://x.com/_cxnoah,https://pbs.twimg.com/profile_images/1926410109699162112/LomvPJBz_bigger.jpg,𝐂𝐢𝐚_,@_cxnoah,·,https://abs-0.twimg.com/emoji/v2/svg/1f41d.svg,Enak banget mumpung lagi hujan,https://help.x.com/rules-and-policies/authenticity,https://abs.twimg.com/responsive-web/client-web/parody-mask.92274f0a.svg,https://x.com/_cxnoah/status/1957352971504877892/analytics,Akun parodi,,,,,,18,https://x.com/_cxnoah/status/1957352971504877892,18 Agt,,,,,,,,,,
https://x.com/vidio,https://pbs.twimg.com/profile_images/1611290996251426816/ees18KmA_bigger.jpg,Vidio,@vidio,"Dari drama yang bikin gemes sampai gol yang bikin teriak bareng, Berwarga, saat tontonan jadi obrolan. 

Vidio, Lebih Dari Hiburan.",,0:25,https://x.com/vidio/status/1955509097660580327/analytics,,,2,2,80,1 jt,Dipromosikan,Berwarga Yuk!,,https://www.vidio.com/?utm_source=marketing&utm_medium=twitter-card&utm_campaign=brandrefresh_awareness_kickoff_launch&twclid=2-14m7nw94fbjtkjf82aofym303,Dari vidio.com,blob:https://x.com/2e5047f1-f5a0-450a-aeb3-4dec1be06dba,,,,,,,,,
https://x.com/vidio,https://pbs.twimg.com/profile_images/1611290996251426816/ees18KmA_bigger.jpg,Vidio,@vidio,"Dari drama yang bikin gemes sampai gol yang bikin teriak bareng, Berwarga, saat tontonan jadi obrolan. 

Vidio, Lebih Dari Hiburan.",,0:21,https://x.com/vidio/status/1955509097660580327/analytics,,,Berwarga Yuk!,2,2,80,1 jt,Dipromosikan,,https://www.vidio.com/?utm_source=marketing&utm_medium=twitter-card&utm_campaign=brandrefresh_awareness_kickoff_launch&twclid=2-14m7nw94fbjtkjf82aofym303,Dari vidio.com,blob:https://x.com/2e5047f1-f5a0-450a-aeb3-4dec1be06dba,,,,,,,,,
