style-scope_src,yt-simple-endpoint_href,style-scope,yt-simple-endpoint,yt-simple-endpoint_href_2,yt-core-attributed-string,ytcoreimagehost_src,style-scope_2,style-scope_3
https://yt3.ggpht.com/ytc/AIdro_m2gSlRZ8pnKJyCcGdJLGFQ9gRQp0EvqSYZSulf8MYqwOgLgQf6khYraMqkL0JYWSFS6w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@EkaPartiwiningsih,@EkaPartiwiningsih,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=Ugzr9EDhilMTMs-r4ot4AaABAg,Bakso Aci sama bakso urat emang paling endol pisan apalagi makannya pakai sambel yang pedes sampe merem melek,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2764.png,7.0,
https://yt3.ggpht.com/ytc/AIdro_nwoCpHTFBIAmvUBUfd8cH-3fjg8cjVsu6Eeac9YgibBWg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@setengahpikiran8416,@setengahpikiran8416,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgxtTQnUTjCraGpJTNh4AaABAg,"Emang mantep baso aci misdaseum bu ima yang di cempaka, selalu rame. 

Teh shanty ageung milik nuju sepi, abdi kadinya rame wae",https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f923.png,6.0,Terjemahkan ke bahasa Indonesia
https://yt3.ggpht.com/ytc/AIdro_nLi0_yB_g3xWCE3qAF7z9DlGTuBWn9ONz7hC0cdi0XF1s=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@devisrinurani5906,@devisrinurani5906,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgzstZKEPVuVrv7iO-94AaABAg,"Memang mantap baso aci cirawang teh ima di cempaka mah, bikin deudeuieun",,10.0,Terjemahkan ke bahasa Indonesia
https://yt3.ggpht.com/ytc/AIdro_lg5FInNAMBFHooMx4oaaqXCTAUEfDySG0cXGXsn1rS9sJe90gEKMH_g7KL4VFPbHCDqQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@alyasitinur46,@alyasitinur46,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgxcEf7tJFppCtmRNl94AaABAg,"ninggal tteh makan selalu ngaruy kabita, ieu nonton ngaruy bari sedih emut ka garut hoyong mulang taun ayna teu tiasa mudik ku kaayan doakn abdi nya kasadayana mugia abdi sehat aya rizki mudik kangut tepang emak kg abah amiin",,1.0,Terjemahkan ke bahasa Indonesia
,https://www.youtube.com/@sherlinputri5166,@sherlinputri5166,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=Ugw5cl_VqlCmNyW7J0x4AaABAg&pp=0gcJCSMANpG00pGi,Teh santy cobaian seblak teh salamah di garuttt... enak bgtt tehhhh,,4.0,Terjemahkan ke bahasa Indonesia
,https://www.youtube.com/@RumahSinggah-v9f,@RumahSinggah-v9f,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgzQ-I5ojRO7qvcbTLJ4AaABAg,Ngiler bangettttt,,2.0,Terjemahkan ke bahasa Indonesia
,https://www.youtube.com/@RenoRahman-pr9jn,@RenoRahman-pr9jn,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgwhcbfORJW9VG1I_PF4AaABAg,Bakso nya mantap bikin sllu ke tagihan baso bu ima memang mantap..,,1.0,
,https://www.youtube.com/@juniyati7552,@juniyati7552,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgzcS4nlbVRGUMMqRIV4AaABAg,"kalau lagi ga napsu makan, langsung lihat Teh Santi makan pasti jadi pengen makan,, senang lihat Teh Santi,, terimakasih Teh",,,
,https://www.youtube.com/@titinnapisah23,@titinnapisah23,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgzNej1tE-WvQj8kKRl4AaABAg,ih sayang banget tth pas mesywa bicara mixroponya melempem,,6.0,
,https://www.youtube.com/@WinaWati-x5c,@WinaWati-x5c,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgxZ5uxkG1tr4iP7qrp4AaABAg,Mantul baso aci sirawang wa ima bikin nagih,,1.0,Terjemahkan ke bahasa Indonesia
,https://www.youtube.com/@Happinessdelight_ofc,@Happinessdelight_ofc,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgyAhPL3DX80GlNLosx4AaABAg,Masyaallah tabarakallah mantap banget tth jadi ngiler nih,,1.0,
