username,comment,date,platform
https://www.facebook.com/riryna.maniez?comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl8xMTE5MTY5Njc2NzA3NTgy&__tn__=R,ayo saling mendukung mari saling suport agar akun kita terus berkembang,Berlangganan Riry Aryanti,facebook
https://www.facebook.com/man.hur?comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl8xNDUzOTgwNzcyMTYzNDYw&__tn__=R,"Borong bucan,slmt sore",Riry Aryanti membalas,facebook
https://www.facebook.com/Neomax89?comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl8xODQzNTE3MTczMTcyOTU5&__tn__=R,Met berbelanja kak,Riry Aryanti membalas,facebook
https://www.facebook.com/profile.php?id=61558412427704&comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl8xNzYyMDk2MTQ1MTg3NDg1&__tn__=R,Dodol garut tth aq paling suka..,Riry Aryanti membalas,facebook
https://www.facebook.com/profile.php?id=61570099346459&comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl82MzUyMzU4NDU1NDQ0NDE%3D&__tn__=R,"Selamat Siang Kak, Makkah Saudi Arabia Menyapa Kak",Riry Aryanti membalas,facebook
https://www.facebook.com/fito.dona.3?comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl81ODQ5NzM3MzQ0MDAyODY%3D&__tn__=R,Jangan lupa aku mau ya say,Riry Aryanti membalas,facebook
https://www.facebook.com/shilviacell.shilviacell?comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl8xNDMxMDIzNDM4MTAxODYw&__tn__=R,Pasti enak ya,Riry Aryanti membalas,facebook
https://www.facebook.com/ipenk.nifer?comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl8xNjYxNTAwMjU3NzI2OTAz&__tn__=R,Jgn lupa buat aq juga ya kk syg,Riry Aryanti membalas,facebook
https://www.facebook.com/abdul.ghofur.888049?comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl8xNDI4MzUxODI4MjA5Njg4&__tn__=R,Tplonglah 20kg mah,Riry Aryanti membalas,facebook
https://www.facebook.com/mamaria.rahayu?comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl83MjA3NzY3MjQwMTg1OTg%3D&__tn__=R,Wah pengen dong,Riry Aryanti membalas,facebook
https://www.facebook.com/susy.l.73?comment_id=Y29tbWVudDoyNDk1MDY4ODAwMTE5ODExNl8yNDc5Mzg1NjM4MDMwMjQ1MA%3D%3D&__tn__=R,Nitip kak,Riry Aryanti membalas,facebook
