username,comment,date,platform
Taufan,Sondnya💔💔,7/26/2021,tiktok
raditpk2,kapan ini .....,4 h yang lalu,tiktok
❤️NISA CNS❤️,baru tau coklat kayak gitu 😅😂,7/26/2021,tiktok
￶,Kayak nya enak tu coklat☺️🤩🤤🤤,7/26/2021,tiktok
w a a y˙✧˖°📷 ༘ ⋆｡˚,mananih orang garut akuuuuu🥰,7/26/2021,tiktok
angellalifah,gantengg bangettttt siii woii!!,7/26/2021,tiktok
alfa,komen ke 3🥰😁,7/26/2021,tiktok
Aurora乂𝐑𝐎𝐁𝐋𝐎𝐗𝐒𝐎𝐅𝐓,itu enak pas Tahun 2021 Daerah bulan maret PAS baru datang terus tiba² do Kasih coklat kek gitu enak banget,7/26/2021,tiktok
liliblum,kangen beli coklat itu weh kalo di rest area 😭,8/22/2021,tiktok
fiel,kk ga takut EXP😳,8/6/2021,tiktok
💤,ku aj belum pernah mencoba coklat itu,7/26/2021,tiktok
– náa,".
　　　︵ Hi~
　(''\(●-●)
　 \ /　 0\ \
　 (　　 )''
　 \__T__/",15-Apr,tiktok
RISK🅰️!!,lebih jadul coklat koin,7/27/2021,tiktok
16 Nov 🥳 • mengikuti,"bg top up in🥺.
jng di hujat guys🥺",7/26/2021,tiktok
Shaa_🅰️,sondnya😅😅,7/26/2021,tiktok
𝐼𝓇𝓂𝒶,coba jajanan jadul bisa gak😳😏,7/28/2021,tiktok
Muzan07kibutsuji,mukanya kaya anak baik baik,7/26/2021,tiktok
pinkyycherrishhh🌷🍒,"permen jadul kak
pllllllliiiiiisssss 😁😁😁",7/26/2021,tiktok
sriernwt,itu chokodot bukan,7/27/2021,tiktok
ℕ𝕒𝕪𝕋𝕖𝕒𝕏𝕩🌵,sound nya membagongkan🗿,7/26/2021,tiktok
erlinerlina11,sondnya ga nyambung,7/26/2021,tiktok
upii,enak banget apalagi yang isinya dodol😭,7/27/2021,tiktok
bang jago,bang perawantan gigi bang,8/1/2021,tiktok
NANA 乂 JAWA𝐒𝐎𝐅T,kk permen jadul pelis,7/28/2021,tiktok
…,aku pernah makan itu kak beli di Bandung tapi gk tau di mana lupa kalo gk salah di Bandung ada coklat pedes jga di sana😁🥰,7/27/2021,tiktok
anisacahyani2007,dan coklat merk ayam pun terlupakan,7/29/2021,tiktok
ooo,yang blom pernah kita sama 😁,8/10/2021,tiktok
✨inisial R🦋✨🇮🇩,abng sering fyp 🥺,8/3/2021,tiktok
ainun,kak iam pasfonya 😁,7/27/2021,tiktok
29,enak bangettt apalagi yg besar aku pernah beli waktu ke Garut 🤤,7/27/2021,tiktok
r̮ena dipukul nangis,minta satu 😂,8/26/2021,tiktok
🌊,ka coba makan oreo sama es krim,8/1/2021,tiktok
Aurora乂𝐑𝐎𝐁𝐋𝐎𝐗𝐒𝐎𝐅𝐓,aku pernah nyoba Di cirebon,7/26/2021,tiktok
🌸🌸,harganya berapa,7/28/2021,tiktok
nia.,hay ka,7/26/2021,tiktok
apalooohhh❕,kak 24 jam makan daging kurban,7/27/2021,tiktok
𝐼𝓇𝓂𝒶,jadi sound cefafff🥺,7/28/2021,tiktok
Sadewawewo,plis lagu kok yindir yindir orang uh 😏😏😏,7/26/2021,tiktok
ayusarinintiyas,beli dima na kak,7/29/2021,tiktok
@lalunaayu 07,itu berapaan kak,7/26/2021,tiktok
Iffaaaa,emang enak banget chocodot apalagi yang putih tapi kalo mau beli biasanya di tempat oleh oleh👍🏻😭,7/26/2021,tiktok
𐔌՞. .՞𐦯,apana lu,7/28/2021,tiktok
ᴍᴀʏ.αℓмαуяα,"fokus sama coklatnya❌
fokus sama soundnya✅
😂😂😂😂",7/28/2021,tiktok
nct,yang biru,8/28/2021,tiktok
super sol,inget waktu SMK pernah jualan coklat garut🥰krna emng aku asli grt hehe.,7/28/2021,tiktok
8,ka coba makan kimci 10,7/27/2021,tiktok
yfk,harga nya berapa? kak,9/28/2021,tiktok
junjun,CokIat chocodot,8/10/2021,tiktok
jehyunnn,Aku pernah makan itu chocodot nya,8/23/2021,tiktok
Aku Jowo😋,bang tolong makan permenkaret jadul plissss,9/16/2021,tiktok
fedroginting928,ula kari ku entek ko je ptt,7/29/2021,tiktok
orgrandom_-,gw suka beli ada di gramedia dulu😁,8/30/2021,tiktok
sanggar yasmine,jujur lucu banget coklat nya mini aa pengen ambil,7/28/2021,tiktok
id.cokelat,"hai ka, mampir ke tokoku ya lagi ada promo coklat buy 1 get 1 🥰",1/28/2022,tiktok
Irfan,mau iih namanya apa kak,8/25/2021,tiktok
sicomel❤,what you by the beast,7/28/2021,tiktok
VidahCimutz🌺✨,beli dimana kak,7/29/2021,tiktok
kirana,ih aku suka beli,12/11/2022,tiktok
👽賈紫星🇹🇼ดาว⭐,mie remes jadul plisssssss,7/26/2021,tiktok
andakepo,itu coklat yg ada di malang anjir anjir nyesel gw ga beli wktu study tour 🥺mna mahal hrganya :),7/27/2021,tiktok
alien👽,aku udah nyobain,9/3/2021,tiktok
