username,comment,date,platform
,Orang,,x
https://x.com/ChocodotChocoJk,ChocodotJakarta,Klik untuk Ikuti ChocodotChocoJk,x
https://x.com/chocodot2,Myrafaf Adhilia,Klik untuk Ikuti chocodot2,x
https://x.com/Chocodot_SUMSEL,Chocodot Palembang,Klik untuk Ikuti Chocodot_SUMSEL,x
https://x.com/search?q=chocodot&src=typed_query&f=user,Lihat semua,,x
https://x.com/Bakewithlove2,bu enci,3 Feb 2024,x
https://x.com/bang_mizu,Bang Mizu,24 Apr 2023,x
https://x.com/minjaebarista,mary,18 Jul,x
https://x.com/mileapofavs,𝘊𝘦,23 Mei 2024,x
https://x.com/yipftsegs,ayippp,8 Apr 2024,x
https://x.com/IndonesiaKaya,Indonesia Kaya,9 Feb 2023,x
https://x.com/milktaaaa,Taaa,14 Feb,x
https://x.com/happieghost,ᴊᴜɴɪ ⭑,14 Feb,x
https://x.com/hisnuinu,inu,31 Mar 2024,x
https://x.com/beerl_,Beerlyn୨୧,22 Feb 2023,x
https://x.com/notrenebae,irene,15 Jan,x
https://x.com/eeerrriiii2788,Eri,24 Mei 2023,x
https://x.com/kepoamatsibrow,king,31 Mar 2024,x
https://x.com/deenstay,deen 樂✮,15 Apr 2023,x
https://x.com/ekaaaaaaash,iboooook,29 Jun 2023,x
https://x.com/Syukrawati27,Syukrawati,9 Agt,x
https://x.com/gatalasb0g0r,tha,21 Okt 2024,x
https://x.com/_vino_alvino,Alvino,8 Apr 2023,x
https://x.com/ggonecherie,mia,24 Mei 2024,x
https://x.com/paketdatangtrs,inspirasi OOTD Daily,20 Mei,x
https://x.com/dokyeomisser,rere,18 Nov 2024,x
https://x.com/mntchgrl,risma,11 Feb,x
https://x.com/elvina1902,elvina - ihsan,16 Mar,x
https://x.com/elvina1902,elvina - ihsan,17 Mar,x
https://x.com/thvmiela0709,_thv0709,16 Des 2023,x
https://x.com/melkietea,la,27 Apr 2023,x
https://x.com/hiirrin,ナミ✰ k/ia,11 Agt 2024,x
https://x.com/PRFMnews,Radio PRFM,19 Nov 2024,x
https://x.com/miuwiemong,mongie ⁠╹⁠▽⁠╹⁠,28 Jun 2024,x
https://x.com/wormdusk,Noah.,25 Jun,x
https://x.com/faber_purba,Faber Gideon Purba,2 Mei 2023,x
https://x.com/peysembahyang,Sandria Canpinter,20 Jul 2023,x
https://x.com/tutles__,toothless,16 Des 2024,x
https://x.com/rarevii21,vinna,22 Feb 2023,x
https://x.com/elvina1902,elvina - ihsan,14 Mar,x
https://x.com/cekotinaja25739,Cekotinaja,17 Feb,x
https://x.com/styxhelixitis,Myawr,9 Jun 2023,x
https://x.com/popottttter,dido,9 Okt 2024,x
https://x.com/DitjenAnggaran,Direktorat Jenderal Anggaran,5 Jan 2023,x
https://x.com/gatalasb0g0r,tha,30 Okt 2024,x
https://x.com/felixcimahi,Juju｡,2 Sep 2023,x
https://x.com/MWardatan,Mita Wardatan,3 Apr 2024,x
https://x.com/Alkaisu1,Mar,3 Feb,x
https://x.com/fauziah_jihan,Jhnfzh,18 Apr 2023,x
https://x.com/ghxidxc,lily,29 Agt 2023,x
https://x.com/huntjisung,Kaci 合,4 Des 2024,x
https://x.com/hellokunitz,taa✧⁠*⁠。,24 Jul 2024,x
https://x.com/pacarbebel,eta,5 Mar 2024,x
https://x.com/anomeraria,riri,5 Jan,x
https://x.com/syedharizamri,Hariz ᮠᮛᮤᮐ᮪,13 Mar 2023,x
https://x.com/diltopagelhaii,ᮓᮤᮜ᮪ ,4 Jul 2024,x
https://x.com/aercheichee,archieve,8 Jun,x
https://x.com/elvina1902,elvina - ihsan,26 Mar,x
https://x.com/hamadazhong,𝒆𝒈𝒊𝒏 𝒅𝒂𝒆𝒈𝒂𝒍 𝒈𝒓𝒂𝒏𝒅𝒎𝒂⁷⁷,26 Des 2023,x
https://x.com/elvina1902,elvina - ihsan,22 Mar,x
https://x.com/mongwoof_,.,19 Mei 2023,x
https://x.com/tresourus,Julian,15 Mar 2024,x
https://x.com/Isman_Kadarusna,Neka,28 Jul 2023,x
https://x.com/pestocheese,kale¹⁴,24 Mei 2024,x
https://x.com/sarrcastiic,َkang seblak,10 Jun 2024,x
https://x.com/withkillua,pengpengpeng,2 Okt 2023,x
https://x.com/Syiva_AWd,MBAK SIPUT ꦱꦾꦶꦮ꦳,26 Apr 2023,x
https://x.com/paviocellus,Andin,8 Sep 2024,x
https://x.com/pacarraiden_ei,Aru *k i/a*,23 Nov 2024,x
https://x.com/hanmula,"Aulia S.E., M.Pak., Tbk.",14 Feb 2024,x
https://x.com/henabanget,hanthu,22 Jul 2023,x
https://x.com/jualanayin,ayin lagi ୨୧,5 Jul 2024,x
https://x.com/kleracing,kler,22 Jul 2024,x
https://x.com/kisahclassiic,jeje,31 Mar 2024,x
https://x.com/yurrvy,MOBAMBAHH,1 Apr 2024,x
https://x.com/triaghi,𝐈𝐆𝐈.,24 Jun,x
https://x.com/elvina1902,elvina - ihsan,24 Mar,x
https://x.com/NIKHIDAYAT0,Chocodot,2 Mei 2023,x
https://x.com/arispocats,abiza,4 Jun 2023,x
https://x.com/aghabifi,A. Ghabi F.I,17 Feb,x
https://x.com/NIKHIDAYAT0,Chocodot,30 Jan 2023,x
https://x.com/y0urskies,yipiy,20 Sep 2024,x
https://x.com/adore_myg,den☆ﾟ⁠.⁠*⁠･⁠｡ﾟ,15 Mar 2024,x
https://x.com/avkleinaxle,𝘼𝙆𝘼𝙈𝙎𝙄,16 Apr 2024,x
https://x.com/gotagameonline,F.......... SAGITA,7 Jan,x
https://x.com/llqmla,k4era,1 Jun,x
https://x.com/IrfanKun9,irfunnotfun,14 Apr 2024,x
https://x.com/gyulouvies,naya rest,2 Apr,x
https://x.com/infogarut,infogarut,7 Okt 2023,x
https://x.com/IrfanKun9,irfunnotfun,15 Apr 2024,x
https://x.com/shotshaken,Kyle,9 Jan 2023,x
https://x.com/infogarut,infogarut,26 Jun 2023,x
https://x.com/belosomm,Oliver,3 Apr 2024,x
https://x.com/kaumpemalas,oi,9 Apr 2024,x
https://x.com/hanyapriabiasa_,yay,18 Apr 2024,x
https://x.com/rflyyprm_,rflii,31 Mar 2024,x
https://x.com/apaajawehhgh,incubetmen,31 Mar 2024,x
https://x.com/alexa_isyours,ale,12 Jan 2024,x
https://x.com/lagijualancilok,Rep,22 Nov 2024,x
https://x.com/justrandm_,Novi,12 Jun 2024,x
https://x.com/RiniIsmiati12,SELENDANG STORE,21 Jul 2024,x
https://x.com/berakbertiga,ロナ Rona,16 Apr 2024,x
https://x.com/chocodot12,chocodot,17 Agt,x
https://x.com/ChocodotC28275,Chocodot Choco,24 Apr,x
https://x.com/ineedyou1bae,arthur.ltd_,31 Mar 2024,x
https://x.com/ChocodotC28275,Chocodot Choco,2 Mei,x
https://x.com/ChocodotC28275,Chocodot Choco,23 Mei,x
