style-scope src,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,yt-core-attributed-string
https://yt3.ggpht.com/ytc/AIdro_lRf30gsCDjH1dey8SDW57LlZCxNnVPQUrZFWL6iUVNFbQO=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@tanyasiapa4518,@tanyasiapa4518,4 tahun yang lalu,https://www.youtube.com/watch?v=rBADbAPn018&lc=Ugw0DudU37Y5XuPuewB4AaABAg&pp=0gcJCSMANpG00pGi,"Mantap darokdok,,cemilan ksukaan ku krupuk kulit ,,tapi kshan ya lihat yg krjnya msh manual apa lg yg ngeprak² kulit pasti berat bgt ya,,smoga jaya dan lestari segera patenkan jgn smpe diakui negara lain"
https://yt3.ggpht.com/ytc/AIdro_nWccdhCuM-Wbn2rjGAuQv_13n1BrsoEDHPcTrmZIzN8tI=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@inovasikreatifcanggihchann9253,@inovasikreatifcanggihchann9253,4 tahun yang lalu,https://www.youtube.com/watch?v=rBADbAPn018&lc=UgycFRbrFymod9NWGwN4AaABAg,Sehat slalu mas gundul aku slalu nonton acara jejak si gundul acaranya bagus bisa buat monivasi dn insfirasi ukm mantap @wahidin583
https://yt3.ggpht.com/Lxpjq68SnFq3VLR7poKKGvaza_dHoY6LGF9EEVoH9XEMV-TjOEayFFsbIBtWZr8ReKRRY3ql=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@video-s3s2t,@video-s3s2t,4 tahun yang lalu,https://www.youtube.com/watch?v=rBADbAPn018&lc=UgzOCLGHJOaNOdDLq9N4AaABAg&pp=0gcJCSMANpG00pGi,Saya paling suka acara ini...jejak sigundul mantulll
https://yt3.ggpht.com/ytc/AIdro_l7sP9Bk7odz0aM2tg_lZoka1900lPOgqQ02ui0g8o=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@musrinihartati6991,@musrinihartati6991,4 tahun yang lalu,https://www.youtube.com/watch?v=rBADbAPn018&lc=Ugy-VrL96AkWlO_Xn2h4AaABAg,"Terimakasih atas tayangan jejak si Gundul yg sangat bermanfaat,mulai dari pengambilan kulit sapi, dibawa ke bawa ke tempat pengolahan,dari kulit diberi garam,garam dibersihkan, lalu direndam air ,diangat lalu dikerok dipisahkan antara kulit dan ada kulit 2 dalam yang nempel.Dan kulit yg nempel diolah lagi ,diberi bumbui dgn bawang putih & garam menjadi dorodok, dijemur hingga kering,digoreng hingga jadi camilan..,.  ......waaaaaa proses pan...........Jang.aamiin"
https://yt3.ggpht.com/ytc/AIdro_l6saexKoNWuUvv-y24m2IVF28DZovW23FXGI6WRl5SuQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@jackkalibar.s.6769,@jackkalibar.s.6769,4 tahun yang lalu,https://www.youtube.com/watch?v=rBADbAPn018&lc=UgyLplvtftMQ7CTT8B54AaABAg,"Chanel paling favoritku.
HITAM PUTIH
JEJAK SI GUNDUL"
https://yt3.ggpht.com/ytc/AIdro_kbDrA-LjvupAeHmnkDs245O98iwqdRk08c0Ry7Xgg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@tutytyetye1205,@tutytyetye1205,4 tahun yang lalu,https://www.youtube.com/watch?v=rBADbAPn018&lc=Ugwh2Bc9u57iA8x6OhJ4AaABAg,asslmmaikum ..sukses trus trans7 ..smga smkin mju.dan jaya.@tuty.tye
,https://www.youtube.com/@kokonugroho2202,@kokonugroho2202,4 tahun yang lalu,https://www.youtube.com/watch?v=rBADbAPn018&lc=Ugz721WV0ODnwGTdF9J4AaABAg,"Org jawa barat memang lihai n telaten klo buat kerajinan dr bahan kulit, contohnya jaket, sepatu dll..indonesia memang mantul n kreative
@kokonugroho767"
,https://www.youtube.com/@sansirosiro2168,@sansirosiro2168,4 tahun yang lalu,https://www.youtube.com/watch?v=rBADbAPn018&lc=UgwsXcQcrjdVFkldDMh4AaABAg,Itu yg aku suka sambil ngopi enak banget
,https://www.youtube.com/@harissafaat1778,@harissafaat1778,4 tahun yang lalu,https://www.youtube.com/watch?v=rBADbAPn018&lc=Ugx8QEKU1Fk9yMxGPpJ4AaABAg,"Assalamualaikum bismillahirrahmanirrahim
Semoga sukses terus buat TRANS7"
,https://www.youtube.com/@sansirosiro2168,@sansirosiro2168,4 tahun yang lalu,https://www.youtube.com/watch?v=rBADbAPn018&lc=Ugw0hhCpc8CJuMlgBFp4AaABAg,Luar biasa prosesnya
