css-175oi2r_href,css-9pa8cd_src,css-175oi2r_href_2,css-1jxf684,css-1jxf684_2,css-1jxf684_3,css-175oi2r_href_5,css-175oi2r_href_6,css-1jxf684_4,css-1jxf684_5,css-1jxf684_6,css-1jxf684_8,css-146c3p1_href,css-146c3p1,r-4qtqp9_src
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,"Sentra Kulit Garut 

Keren banget ini Garut. Produk kulit kualitasnya bagus, pengerjaan rapi, ringan, motif beragam dan uptodate. 

Ini jaket kulit tapi ndak seperti kulit. Kalau dikasih cap Adidas, Balenciaga,  atau LV, harganya bisa naik 100x lipat.",https://x.com/ismailfahmi/status/1638449502750408705/photo/2,https://x.com/ismailfahmi/status/1638449502750408705/photo/3,2.56 PM · 22 Mar 2023,·,"148,5 rb",52,,,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,https://x.com/ismailfahmi/status/1638454745001246720/photo/2,https://x.com/ismailfahmi/status/1638454745001246720/analytics,"Sepatu kulit motif kulit ""pohon"". Enak dipakai, ringan, kuat, murah sekira seperempat harga di mall, semoga awet. 

Bangga pakai sepatu kulit Garut.",6,5,13 rb,https://x.com/ismailfahmi/status/1638454745001246720,22 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/2764.svg
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,,https://x.com/ismailfahmi/status/1638456453446119424/analytics,Borong sandal kulit 50k buat tamu dari kantor ke masjid.,2,3,13 rb,https://x.com/ismailfahmi/status/1638456453446119424,22 Mar 2023,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,,https://x.com/ismailfahmi/status/1638458889770520576/analytics,"Kulit premiumnya halusss, ringan, tipis, kuat. Karena ndak ada kombinasi yang pas, jadinya pesan custom.",6,5,14 rb,https://x.com/ismailfahmi/status/1638458889770520576,22 Mar 2023,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,https://x.com/ismailfahmi/status/1638713891449630721/analytics,,"Oh iya, lokasinya di sini.",3,11,8 rb,https://x.com/ismailfahmi/status/1638713891449630721,23 Mar 2023,
https://x.com/writerfreax,https://pbs.twimg.com/profile_images/1747381768846721024/mnqrsOzp_bigger.jpg,https://x.com/writerfreax,writerfreax,@writerfreax,·,,https://x.com/writerfreax/status/1638463788675657729/analytics,Kalau jual di mp banyak ya kW harus tau toko mana yg jual produk ori,2,3,4 rb,https://x.com/writerfreax/status/1638463788675657729,22 Mar 2023,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,https://x.com/ismailfahmi/status/1638464512612524033/analytics,,Nah ini penting,1,,4 rb,https://x.com/ismailfahmi/status/1638464512612524033,22 Mar 2023,
https://x.com/cecepumar,https://pbs.twimg.com/profile_images/1355698796064174085/6ICFtaoP_bigger.jpg,https://x.com/cecepumar,Cecep Umar Farouq,@cecepumar,·,,https://x.com/cecepumar/status/1638450277992009729/analytics,Lagi d sukaregang mas?,1,3,3 rb,https://x.com/cecepumar/status/1638450277992009729,22 Mar 2023,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,https://x.com/ismailfahmi/status/1638454817097158656/analytics,,"Iyes, baru sls.",1,,3 rb,https://x.com/ismailfahmi/status/1638454817097158656,22 Mar 2023,
https://x.com/jangahmad_,https://pbs.twimg.com/profile_images/1788509050403221504/KzK2oOnP_bigger.jpg,https://x.com/jangahmad_,Jang Ahmad,@jangahmad_,·,,https://x.com/jangahmad_/status/1638464991933390848/analytics,Gimana mas perjalanan ke Garutnya?,1,1,3 rb,https://x.com/jangahmad_/status/1638464991933390848,22 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/1f92d.svg
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,https://x.com/ismailfahmi/status/1638470988550803457/analytics,,Wisata alamnya bagus,1,,3 rb,https://x.com/ismailfahmi/status/1638470988550803457,22 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/1f44d.svg
https://x.com/writerfreax,https://pbs.twimg.com/profile_images/1747381768846721024/mnqrsOzp_bigger.jpg,https://x.com/writerfreax,writerfreax,@writerfreax,·,,,Kalau jual di mp banyak ya kW harus tau toko mana yg jual produk ori,2,3,,https://x.com/writerfreax/status/1638463788675657729,22 Mar 2023,
https://x.com/sunglaklak,https://pbs.twimg.com/profile_images/1858398377668714496/nesQtEdY_bigger.jpg,https://x.com/sunglaklak,kukurucinguknguk,@sunglaklak,·,,https://x.com/sunglaklak/status/1638466727553142784/analytics,Kulit asli apa sintetis ni om? Kok sendal 50k,2,1,6 rb,https://x.com/sunglaklak/status/1638466727553142784,22 Mar 2023,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,,https://x.com/ismailfahmi/status/1638471756448141312/analytics,Asli. Kalau jadi kerupuk lebih murah lagi,1,,5 rb,https://x.com/ismailfahmi/status/1638471756448141312,22 Mar 2023,
,,,Tampilkan balasan,,,,,,,,,,,
https://x.com/faridism,https://pbs.twimg.com/profile_images/1855504842825035776/8-PvQ_kP_bigger.jpg,https://x.com/faridism,keep the faith,@faridism,·,,https://x.com/faridism/status/1638484197617844224/analytics,Jaket gini kena berapa mas ?,1,1,2 rb,https://x.com/faridism/status/1638484197617844224,22 Mar 2023,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,https://x.com/ismailfahmi/status/1638513181181247488/analytics,,"1,3jt blm ditawar.",3,,2 rb,https://x.com/ismailfahmi/status/1638513181181247488,22 Mar 2023,
https://x.com/Small12Forward,https://pbs.twimg.com/profile_images/1804927763260022784/wSk7JCTG_bigger.jpg,https://x.com/Small12Forward,xx.lvx.lv%,@Small12Forward,·,,https://x.com/Small12Forward/status/1638540222777675776/analytics,"Mas bukan mau salty

Pas foto gaya gini apa yg dipikirkan ?",1,1,4 rb,https://x.com/Small12Forward/status/1638540222777675776,22 Mar 2023,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,,https://x.com/ismailfahmi/status/1638555873609142272/analytics,Mikir besok sahur menunya apa ya?,1,1,3 rb,https://x.com/ismailfahmi/status/1638555873609142272,22 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/1f600.svg
https://x.com/KangScroll,https://pbs.twimg.com/profile_images/1144284186125066241/KN7_FGut_bigger.jpg,https://x.com/KangScroll,,@KangScroll,·,,https://x.com/KangScroll/status/1638450836224503809/analytics,Iya kulitnya tebel banget sampe nonjol di area perut,1,1,6 rb,https://x.com/KangScroll/status/1638450836224503809,22 Mar 2023,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,,https://x.com/ismailfahmi/status/1638455447085785091/analytics,Ini kulit perut yg tebel,1,1,6 rb,https://x.com/ismailfahmi/status/1638455447085785091,22 Mar 2023,
https://x.com/ali1only,https://pbs.twimg.com/profile_images/378800000331681019/ff414e47117411ec15601085635672a1_bigger.jpeg,https://x.com/ali1only,ali syamsudin,@ali1only,·,,https://x.com/ali1only/status/1638459932726132737/analytics,Kalo bukak di market place lebih afdhol soale jauh kalo ke pergi ke garut,5,1,7 rb,https://x.com/ali1only/status/1638459932726132737,22 Mar 2023,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,,https://x.com/ismailfahmi/status/1638462705463099392/analytics,Ada kayaknya. Td ada yg packing buat dikirim jg,1,1,7 rb,https://x.com/ismailfahmi/status/1638462705463099392,22 Mar 2023,
https://x.com/DediSur34022821,https://pbs.twimg.com/profile_images/1589820904443301889/brhTlnBz_bigger.jpg,https://x.com/DediSur34022821,D3SUR,@DediSur34022821,·,,https://x.com/DediSur34022821/status/1638541043225464832/analytics,Cuma klo sekarang perjalanan Bandung garut Rasa off-road..mulai kadungora sd tarogong,1,,2 rb,https://x.com/DediSur34022821/status/1638541043225464832,22 Mar 2023,
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,https://x.com/ismailfahmi/status/1638713140979576832/analytics,,Iya ini parah jalannya.,1,,1 rb,https://x.com/ismailfahmi/status/1638713140979576832,23 Mar 2023,
https://x.com/mziadz,https://pbs.twimg.com/profile_images/720090946503770112/uC0PmfM5_bigger.jpg,https://x.com/mziadz,Ziad,@mziadz,·,,https://x.com/mziadz/status/1638504546178854913/analytics,Bisikin nama tokonya pak,2,,3 rb,https://x.com/mziadz/status/1638504546178854913,22 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/1f64f-1f3fc.svg
https://x.com/ismailfahmi,https://pbs.twimg.com/profile_images/1905211478971744256/rJqoXdYE_bigger.jpg,https://x.com/ismailfahmi,Ismail Fahmi,@ismailfahmi,·,https://x.com/ismailfahmi/status/1638713302783229952/analytics,,"Lupa, itu di pasarnya, sentra kulit. Keliling2 aja nyari yg cocok",1,2,2 rb,https://x.com/ismailfahmi/status/1638713302783229952,23 Mar 2023,
https://x.com/astrianee,https://pbs.twimg.com/profile_images/1615357827811545089/J3CPDcQQ_bigger.jpg,https://x.com/astrianee,nadia,@astrianee,·,https://x.com/astrianee/status/1638726329674891264/analytics,,"Tapi ini limbahnya bikin istighfar. Apalagi karena masuknya UMKM, blass aja kaya ngga ada kewajiban pengelolaan limbahnya padahal mah. 
Ya ngga bisa disalahin seluruhnya ke pedagang juga, yg bertugas membinanya aja suka lepas tangan dan merasa cukup dengan sosialisasi.",1,1,662,https://x.com/astrianee/status/1638726329674891264,23 Mar 2023,
