style-scope src,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,yt-core-attributed-string,style-scope 3,,,
https://yt3.ggpht.com/CmPOO29Z0npP-ypKnfyHytEQKusEXzezcW9nojivfRgsECcsK5H9cDc2ackItLLn9oyIAhz0=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@hiqiya123,@hiqiya123,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgzKocGX2BdBR4NvTc14AaABAg,Kirain dalgona candy yang ada di squid game ️,,,,
https://yt3.ggpht.com/NW8No8VAPXfZfSeJIve8c7EjZnxDo5w9vSqN947Y6yZSI1vWc8v_sEC1YNZOUIEU5dYDa9xN=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@wiwindowin4849,@wiwindowin4849,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgynBmuVzXccnRkzGSd4AaABAg,"Hebat Indonesiaku... 
Bermacam kuliner enak enak... 

Sehat dan bahagia semuanya",,,,
https://yt3.ggpht.com/ytc/AIdro_kcroBL1B70K07nqfe1O3cD92cblXJnS3yxuBk5Bj9S7Uw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@desiarisandi2454,@desiarisandi2454,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=Ugzty9C3lq5UmZsJ5BJ4AaABAg,"Jadi ingat alm ibu mertua buatin burayot enak bgt
Alfatihah buat Ema",,,,
,https://www.youtube.com/@alwayssucces9422,@alwayssucces9422,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=Ugxo5yQHQiHqXxJCVIZ4AaABAg,Jangn lupa kalau di garut cobain AYAM KOREJAT enak banget,,,,
,https://www.youtube.com/@dhindrakurniawan,@dhindrakurniawan,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgwpQeI6JYlf8Tq7f454AaABAg,"Lama"" pake masker sampe ngecap dong",,,,
,https://www.youtube.com/@denipris9337,@denipris9337,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgzdETvx6sX4myOaOQV4AaABAg,Mirip telor dibawah burung,,,,
,https://www.youtube.com/@marinientertainment888,@marinientertainment888,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgwQqVCbp-Pa96nlDHx4AaABAg,Pengen coba,,,,
,https://www.youtube.com/@andrikurniawan6459,@andrikurniawan6459,2 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgzID4CjJC_YZ1eokp54AaABAg,"Burayut. 

















Allahumma shali wa salim wa barikh ala Sayyidina Muhammadin wa'ala ali Sayyidina Muhammadin fil awwalin wal akhirin wa fil mala'il a'la ila Yaumiddin",Terjemahkan ke bahasa Indonesia,,,
,https://www.youtube.com/@yudiismanto7317,@yudiismanto7317,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=UgxIw4QUBPaXui2WysF4AaABAg,Pernah denger burayot kek nya di preman pensiun 4,,,,
,https://www.youtube.com/@BliKasep,@BliKasep,3 tahun yang lalu,https://www.youtube.com/watch?v=teeb7-qZ3r0&lc=Ugx2rEkDlWvSJHz-Eb54AaABAg,"Endul eyyy, pgn coba, cucur keras aja endul",Terjemahkan ke bahasa Indonesia,,,
