css-9pu1vy-StyledUserLinkAvatar href,css-11j0z2t-ImgAvatar src,css-1uxwbtk-SpanUserNameText,css-z35s28-PCommentText,css-ckdg7w-SpanCreatedTime,css-1fhml0h-SpanCount,,,,,,,,,,
https://www.tiktok.com/@fhatin.syakira,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e7b3e37b9fb5bc5a41c5b0b7aa75d30e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b26e33aa&x-expires=1755828000&x-signature=OtyD2DhT0%2BQHQYn1Hz4%2BrprI1xM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,FHATIN SYAKIRA,"saran:""kirim keluar pulau kalau bisa packing'a jangan kek gitu"",kyk punya aku pas nyampe dus'a penyok beserta isi'a😭🤔",8/30/2024,17,,,,,,,,,,
https://www.tiktok.com/@user69093761592,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f6505f40fbeb5efb6441ea695e354eb3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c87d944f&x-expires=1755828000&x-signature=Y9yIEJZy0pP%2BUDStGFNVyVP1ViQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Nene agam,berapa de itu arganya yg wajik,8/26/2024,3,,,,,,,,,,
https://www.tiktok.com/@abangjack9712,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/eb9755a5fe58960fc15b39e013adcf8f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=92d674b1&x-expires=1755828000&x-signature=lYBa0y1BAGP%2BjktP6lh2WStmrhU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,abangjack CAMELO,dpt 100 perakk🥰😂,1 j yang lalu,0,,,,,,,,,,
https://www.tiktok.com/@hasyifalombok,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0dfebd790d7324db7a4762947a19864b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9604da77&x-expires=1755828000&x-signature=hIADd%2FB28DIuxV1U8zXDUnxElnU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Hasyifa Lombok,"Mau wajik 2, Buah2 SM pelangi 1",10-Jan,0,,,,,,,,,,
https://www.tiktok.com/@iren.agustia,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a9534412c611c53629626a723472e774~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a474f69a&x-expires=1755828000&x-signature=diLEtNwuBoazSgk6YuraK5SJTSQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,iren agustia,dpat 10k an kak 1 kg,2 j yang lalu,0,,,,,,,,,,
https://www.tiktok.com/@shukirr,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/00434a57fd57c54e49ca61f8c9f8bed6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8c287474&x-expires=1755828000&x-signature=S5Wbe9ma2ikx6x%2BWNruD8xhFg7w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,MAS_$,berapaan bg,15 j yang lalu,0,,,,,,,,,,
https://www.tiktok.com/@rizal44,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/844df68ac250c2e7fba397a06c90f495~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b957e30a&x-expires=1755828000&x-signature=h28623dGP5WtnKp4dI2pnhw7M%2Bc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Rizal,wajit cililin bukan,8/23/2024,2,,,,,,,,,,
https://www.tiktok.com/@leoilham5,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0ba8cb637aa807cec640033f26feb9fe~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c2fe8ea6&x-expires=1755828000&x-signature=ELoluL4ApwecikKy%2BkSLu5LNn8E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,지KO,tahan berapa minggu kak soalnya dari jatim,15 j yang lalu,0,,,,,,,,,,
https://www.tiktok.com/@.kamandanu22,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fb2b4250c0db671689a08c5a7d3da76b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1a39c061&x-expires=1755828000&x-signature=mWRdAa1pAbnXlsmBwt7R3BwcZhc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,KAMANDANU22,kurang mahal eta ongkir nak,17-Apr,0,,,,,,,,,,
https://www.tiktok.com/@dadang___07_05,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/72b766f2b0b6d1e5ff4f34afa756ed0c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=167f543e&x-expires=1755828000&x-signature=GlbZiqhVXeo2%2FTs9AvM0W7jEjUQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,👑💍Tik tok 07-05💍👑,ya ntar saya mau cod ini kesukaan aku🥰,15 j yang lalu,1,,,,,,,,,,
https://www.tiktok.com/@nenk12455,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1042118c09f19342e5dbe761904a1988~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8af16a01&x-expires=1755828000&x-signature=qKQm5gNZCxRSCWyI%2BfkOboaqUZI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,🫰rahasia cinta 😘😘😘😘,bisa order g ituh,16 j yang lalu,0,,,,,,,,,,
https://www.tiktok.com/@iwan.usung,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/94a7096b6b91dd9e4220c45ddd88a05f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f53df19c&x-expires=1755828000&x-signature=t94KnrBbRtcStGcIz4oIEQcu5I0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Iwan Usung,itu mahal ongkir nya daripada harganya,1-Jul,0,,,,,,,,,,
https://www.tiktok.com/@umi.sharoh,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/bbe3c57467e83f913c3e9312f5b2fb74~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f9af3357&x-expires=1755828000&x-signature=hIyX5UUG1AcG%2BvxE%2F0rr5OGN5XA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Umi Sharoh,assalamualaikum klau di campur2 boleh ngk Aa,27-Apr,0,,,,,,,,,,
https://www.tiktok.com/@.fabian347,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/af87e67de9f4084bc3039c8d200c22d1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=334726ca&x-expires=1755828000&x-signature=b4%2FGnGT1dKoeIDkTRsyXDsvYt7k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,fabian,klo dodol zebra brapa kak,7-Jun,0,,,,,,,,,,
