xpdipgo src,x1i10hfl,x1i10hfl href,_ap3a,x1i10hfl href 2,_a9ze,x193iq5w,x193iq5w 2,x1i10hfl href 3,,
https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/481765142_613534501638395_4707863870326611247_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QHV7uQvKcZ-eNgWdkzLyqq91h9EInwlRKA0oaMeXLUpx4dIKRfVeupUo4VLN29vu9k&_nc_ohc=gmKvXeLRhPUQ7kNvwHHzvpl&_nc_gid=hB9q266VKHD1GRISUfHHxA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfWaTW-d0BJ3bXLOKNkKkyQNoKpSysRuusb6OTrk7phrgw&oe=68AC67D9&_nc_sid=f5838a,tiraemon,https://www.instagram.com/tiraemon/,"neng, makeup nya bagus bgtttt 😍",https://www.instagram.com/p/DKlJXbnhZdz/c/17861839959416768/,10 ming,6 suka,Balas,,,
https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/534308070_17969050433940271_4254373356474290118_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QHV7uQvKcZ-eNgWdkzLyqq91h9EInwlRKA0oaMeXLUpx4dIKRfVeupUo4VLN29vu9k&_nc_ohc=PR8Igd7giSYQ7kNvwFY1LSd&_nc_gid=hB9q266VKHD1GRISUfHHxA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfW5WPdPS08ZQIA__qNCxqyGCuBCxZqg7nRhNX4pbV3z0g&oe=68AC60B7&_nc_sid=f5838a,acaa0196,https://www.instagram.com/acaa0196/,MasyaAllah tteh asli pangandaran? Pantesan nada bicaranya ga asing😭,https://www.instagram.com/p/DKlJXbnhZdz/c/18512023903037384/,10 ming,5 suka,Balas,,,
https://scontent-cgk1-1.cdninstagram.com/v/t51.2885-19/516335969_18080903440885698_8659168822379604452_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QHV7uQvKcZ-eNgWdkzLyqq91h9EInwlRKA0oaMeXLUpx4dIKRfVeupUo4VLN29vu9k&_nc_ohc=cYLB1yoZ41kQ7kNvwFs8nJd&_nc_gid=hB9q266VKHD1GRISUfHHxA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfWGLwD95AgnLTBmWDERD2ZEPG58TFFPS8m0oCEYD_uC_Q&oe=68AC52ED&_nc_sid=f5838a,ryuttarm,https://www.instagram.com/ryuttarm/,Aq suka sm teteh ini kl bikin konten enakeun bahasa sundanya halusss 😍isi kontennya jg bukan yg kukulutus arau baperan kyk yg atu lagi😁,https://www.instagram.com/p/DKlJXbnhZdz/c/18138062347414605/,10 ming,7 suka,Balas,https://www.instagram.com/ryuttarm/,,
https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-19/515329475_18011624090757242_1487416707364208936_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QHV7uQvKcZ-eNgWdkzLyqq91h9EInwlRKA0oaMeXLUpx4dIKRfVeupUo4VLN29vu9k&_nc_ohc=3VNrHMDRy1QQ7kNvwHCeVl1&_nc_gid=hB9q266VKHD1GRISUfHHxA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfUCVNbqiq2623FFSMJVqQVMNx83eki0SUeSmEQiLz-ikw&oe=68AC5F28&_nc_sid=f5838a,apiahbouquet,https://www.instagram.com/apiahbouquet/,"""ngurucuk patuangan teh"" lapar sanes nya😂",https://www.instagram.com/p/DKlJXbnhZdz/c/17924308440080961/,10 ming,1 suka,Balas,https://www.instagram.com/apiahbouquet/,,
https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/447940737_336185195986356_4057232455969517413_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QHV7uQvKcZ-eNgWdkzLyqq91h9EInwlRKA0oaMeXLUpx4dIKRfVeupUo4VLN29vu9k&_nc_ohc=atX9LFi1fNoQ7kNvwGNOn2F&_nc_gid=hB9q266VKHD1GRISUfHHxA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfXRZhqezreUFB0QmeXUpZXJMaenIgj53-2dcSnR1yBJMA&oe=68AC7F1B&_nc_sid=f5838a,sarachwatia_,https://www.instagram.com/sarachwatia_/,"teteh meuni geulisssss, jaba nyariosna lemes pisan masyaa allahh ❤️",https://www.instagram.com/p/DKlJXbnhZdz/c/18065306597019242/,10 ming,Balas,,https://www.instagram.com/sarachwatia_/,,
https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/121145066_2374429796186904_6976820571885364189_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QHV7uQvKcZ-eNgWdkzLyqq91h9EInwlRKA0oaMeXLUpx4dIKRfVeupUo4VLN29vu9k&_nc_ohc=9s_T8rgN2ycQ7kNvwGvd9cO&_nc_gid=hB9q266VKHD1GRISUfHHxA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfXL6gZfcSr2vHeraquG6nrMCPlaz7wtLev3ofKV6qKSHA&oe=68AC6365&_nc_sid=f5838a,syiput23,https://www.instagram.com/syiput23/,"Ngurucuk beteung kitu sanes teh? Da benten bahasa sunda na pun bapa org tasik lamun gerimis nyebatna ngaruy, ai di cimahi mah ngaruy teh upami kabita ninggal tuangeun 😂😂😂",https://www.instagram.com/p/DKlJXbnhZdz/c/17855376255399397/,10 ming,18 suka,Balas,https://www.instagram.com/syiput23/,,
https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/531746627_18169807303355083_2460405964834029023_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QHV7uQvKcZ-eNgWdkzLyqq91h9EInwlRKA0oaMeXLUpx4dIKRfVeupUo4VLN29vu9k&_nc_ohc=8OhDJJDNWAIQ7kNvwEnvG_G&_nc_gid=hB9q266VKHD1GRISUfHHxA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfUarjhXVQ-wBW30ZVWGOZEsxN1lIl_Rmcr9Vi6MXdNnXA&oe=68AC6E27&_nc_sid=f5838a,krtka19,https://www.instagram.com/krtka19/,Ngurucuk teh lapar sanes teh? Kukurubukan patuangan😂,https://www.instagram.com/p/DKlJXbnhZdz/c/17950508135976733/,10 ming,1 suka,Balas,https://www.instagram.com/krtka19/,,
https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/509593876_18348692458084823_7578688600163769999_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QHV7uQvKcZ-eNgWdkzLyqq91h9EInwlRKA0oaMeXLUpx4dIKRfVeupUo4VLN29vu9k&_nc_ohc=GlXpJVsI9ukQ7kNvwHi3GPi&_nc_gid=hB9q266VKHD1GRISUfHHxA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfXbgW1BBFtqEEyzkmG1G_biQ_GYZ6QTfqMJpcf-HI4pkw&oe=68AC7C1F&_nc_sid=f5838a,elin88379,https://www.instagram.com/elin88379/,Ngurucuk teh cai anu netes2 kitu😂 punten bilih lepat,https://www.instagram.com/p/DKlJXbnhZdz/c/17938804284008848/,10 ming,27 suka,Balas,https://www.instagram.com/elin88379/,,
https://scontent-cgk1-1.cdninstagram.com/v/t51.2885-19/432038668_959363405776797_8324191169137111161_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QHV7uQvKcZ-eNgWdkzLyqq91h9EInwlRKA0oaMeXLUpx4dIKRfVeupUo4VLN29vu9k&_nc_ohc=DjibnBOt0BAQ7kNvwEzWD_W&_nc_gid=hB9q266VKHD1GRISUfHHxA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfUgB9m2GesRiuC4Ipa4U4_CfaRAhRoZe2Wc-DpduPmq8w&oe=68AC8224&_nc_sid=f5838a,luvie.maa,https://www.instagram.com/luvie.maa/,oalaa baru tau teteh dari pangandaran pantesan bicaranya mirip temen aku yang di pangandaran😂,https://www.instagram.com/p/DKlJXbnhZdz/c/17907458289053581/,10 ming,Balas,,https://www.instagram.com/luvie.maa/,,
https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-19/445174411_459034713260295_7409763039120480744_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QHV7uQvKcZ-eNgWdkzLyqq91h9EInwlRKA0oaMeXLUpx4dIKRfVeupUo4VLN29vu9k&_nc_ohc=Vd8VqYWPkUkQ7kNvwFF3x64&_nc_gid=hB9q266VKHD1GRISUfHHxA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfW98WsMRgaSLpm-eB9B84d-LsYNSU74ee76I2ud6PE2hA&oe=68AC857E&_nc_sid=f5838a,githadiki90,https://www.instagram.com/githadiki90/,Ngurucuk naon ihh teteeeehh abi ge org bandung teu uninga .. nembe ngadangu malahan ..😂😂,https://www.instagram.com/p/DKlJXbnhZdz/c/18090910030618018/,10 ming,1 suka,Balas,https://www.instagram.com/githadiki90/,,
