style-scope src,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,yt-core-attributed-string,style-scope 2,,,,
https://yt3.ggpht.com/ytc/AIdro_mJT-3ovS_sSeP_Qpp-awMOFx-XjPtYC75fKSrM16ZFJT0N=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@mmhtaopik797,@mmhtaopik797,5 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzcfGDwJ32YSgpce9Z4AaABAg&pp=0gcJCSMANpG00pGi,Saya paling suka dg dodol garut Dr kecil sampe sekarang,12,,,,
https://yt3.ggpht.com/ytc/AIdro_nxkx51Jo_fTmbuo4Yoc369BFklloyM02LrO4Cdi4E=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ardianalaziz7333,@ardianalaziz7333,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugzg0cEAErjat3MPH_F4AaABAg,Dodol Garut Nanas dan Coklat... rasanya enak banget,2,,,,
https://yt3.ggpht.com/ytc/AIdro_mQZ-GfFaGE2wJtgEaVLp9LPRj37VPmBKdEZcy3_GE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@tiankbetton8885,@tiankbetton8885,4 tahun yang lalu (diedit),https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgznFR7FPvH1DOseJmt4AaABAg&pp=0gcJCSMANpG00pGi,"Kenal dodol  pas naik bis arah mudik 
   Ada yg nawarin buat oleh² 

Enkk emng kenyel² gmn gt 
  Mantap di mkn saat di perjalanan",1,,,,
https://yt3.ggpht.com/ytc/AIdro_l1ZPXi5DtcifzBfMe_opRmahuxny6YDmOVQmsAkOw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@pelitawaty5881,@pelitawaty5881,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugw1sdsTc98bQWZosdV4AaABAg,Dodol Garut itu pas takaran Kelapa nya jd aq suka  gk berminyak seperti dodol kebanyakan..... Yahut deh dodol garut,,,,,
https://yt3.ggpht.com/G9nW1I_2KqS2Xse5ryryjhPg6VEY0Ds1BNR0dXMCnwLE3mwVdHOspB2iJqXAY3qPXCQY8kuUyPs=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@fiannurrofi1574,@fiannurrofi1574,5 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugx0KPZ63yHlHWdo2ed4AaABAg,suka banget kk...pa lg krang banyk rs n macamy,2,,,,
https://yt3.ggpht.com/ytc/AIdro_k0asZ_ST6HkdzgYGrLVjU3PM9ZHmFynWiFRPmo0ixQ-sWu=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@dendimakbar5911,@dendimakbar5911,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgwE5KV_mrtP-d5nX1t4AaABAg,Nah ini nih dodol yang sering kemakan kertasnya,3,,,,
,https://www.youtube.com/@suriyadisuri5265,@suriyadisuri5265,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugxlkdn3Seb1f7BVUX54AaABAg,Bida ya sama duduk Kandangan dudul Kandangan ada kacang ya gitu salam dari Kalimantan,,,,,
,https://www.youtube.com/@mr.kambing8735,@mr.kambing8735,2 tahun yang lalu (diedit),https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgyPHak2Efx6lu8Mp514AaABAg,"saya tau cara membuatnya, gampang sekali cuman capek mengaduknya kalau manual, bahannya 1 karung beras ketan, 30kg gula jawa/gula aren, ama santan kelapa secukupnya... hampir mirip pembuatan kue wajik..",,,,,
,https://www.youtube.com/@milamila8474,@milamila8474,1 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgxBFXqxL3zyY0puCvJ4AaABAg,Dodol kesukaan ku ini. Aku suka yang original,,,,,
,https://www.youtube.com/@mpoerot8013,@mpoerot8013,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugx7WWS32v0eVzwRhSZ4AaABAg,aje gila ini kondangan disuguhin dodol udah kaya makan nasi,,,,,
,https://www.youtube.com/@a.rThriftingBali,@a.rThriftingBali,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzI1nz_F-ysOtl9Q_x4AaABAg,Wah enak banget nih. Favorit.,,,,,
