css-9pu1vy-StyledUserLinkAvatar href,css-11j0z2t-ImgAvatar src,css-1uxwbtk-SpanUserNameText,css-z35s28-PCommentText,css-ckdg7w-SpanCreatedTime,css-1fhml0h-SpanCount,,
https://www.tiktok.com/@taufanmhmmmd,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/517bbe52c04d0a46b4d5ad6d94e563c4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bd80cc5f&x-expires=1755831600&x-signature=Pvp5mxXvJeKhvfYRWp6xiL1ior8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Taufan,Sondnya💔💔,7/26/2021,799,,
https://www.tiktok.com/@raditttttttt2010,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/51fbcdfe539f6dcd280f7c08e4fda11b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f3fd4721&x-expires=1755831600&x-signature=3OzhRv9CmBIQStTkYqBytG4iC6E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,raditpk2,kapan ini .....,4 h yang lalu,0,,
https://www.tiktok.com/@runisah0123456789,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/8b571393b70d04fba08165fb491656b9~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f1b6fa32&x-expires=1755831600&x-signature=NKj42D4HRarz4L0hZLg3LdtEdoo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,❤️NISA CNS❤️,baru tau coklat kayak gitu 😅😂,7/26/2021,495,,
https://www.tiktok.com/@cakes_hubba,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4593c7a8495a06951051aaef69ca3b16~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6e69e210&x-expires=1755831600&x-signature=Vvq9ajr5pxtrFx37ARoq38wJDKc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,￶,Kayak nya enak tu coklat☺️🤩🤤🤤,7/26/2021,19,,
https://www.tiktok.com/@hlwxd,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/97ed6a818b371d1c6cd04f04184706c8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2ab84705&x-expires=1755831600&x-signature=tvGr2uy4eWTWLXn9OsxGfffBrd4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,w a a y˙✧˖°📷 ༘ ⋆｡˚,mananih orang garut akuuuuu🥰,7/26/2021,31,,
https://www.tiktok.com/@angellalifah,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/bc4692781a4814beb2fde99fbd184bd6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bf780b4e&x-expires=1755831600&x-signature=kkpaBD%2FC%2FAlHM%2BtnuO4%2FW%2Fyz8cM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,angellalifah,gantengg bangettttt siii woii!!,7/26/2021,55,,
https://www.tiktok.com/@kapunwae,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f952a2960d54ebe6f7881ab82012f934~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5e90450b&x-expires=1755831600&x-signature=8f6IRTtAjD%2F9QQO3bWntYCWzpX0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,alfa,komen ke 3🥰😁,7/26/2021,11,,
https://www.tiktok.com/@taffanimesiasaurora,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/404b026c33d519c7d48214890f7ba524~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=dd40a589&x-expires=1755831600&x-signature=xd%2BP1%2BDuKBvyXe3MXC3V7Mz%2F5rA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Aurora乂𝐑𝐎𝐁𝐋𝐎𝐗𝐒𝐎𝐅𝐓,itu enak pas Tahun 2021 Daerah bulan maret PAS baru datang terus tiba² do Kasih coklat kek gitu enak banget,7/26/2021,4,,
https://www.tiktok.com/@todayisnd,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1581760f09b16a62fe27a77b69a858c8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ca6d2259&x-expires=1755831600&x-signature=bhjG8WIpG44wE0JQjiv2Silk5x0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,liliblum,kangen beli coklat itu weh kalo di rest area 😭,8/22/2021,0,,
https://www.tiktok.com/@na_d4a,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/0f0a288439a19caf7927bee87a17169b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=16aa4f27&x-expires=1755831600&x-signature=LlkAJ8eJmAcH5QJwvZw6lg9R6Uw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,fiel,kk ga takut EXP😳,8/6/2021,1,,
https://www.tiktok.com/@hai_533,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/202c393936d27de9c0d174d069f23602~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d02cb74b&x-expires=1755831600&x-signature=XeUn14Gxb9aOrlMFC6FIrqaB76E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,💤,ku aj belum pernah mencoba coklat itu,7/26/2021,1,,
https://www.tiktok.com/@psankhusus808,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a87859914edeffe8562f9de6d624b084~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c0e130c2&x-expires=1755831600&x-signature=O4r3Q7MNeO6VuZn4cpL0ms3MeLg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,– náa,".
　　　︵ Hi~
　(''\(●-●)
　 \ /　 0\ \
　 (　　 )''
　 \__T__/",15-Apr,1,,
https://www.tiktok.com/@riskaaadwivanesa,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/da18ed76af5db6daf039eb1b7e935f41~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8e8ab03c&x-expires=1755831600&x-signature=Ur9irvidub293gZlyBR%2Bm18YZ3Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,RISK🅰️!!,lebih jadul coklat koin,7/27/2021,2,,
https://www.tiktok.com/@gracia.ananda.kasih,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/cfbe25e5ed077a496b81a1a1c50ea3a4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e9eef35f&x-expires=1755831600&x-signature=omrCbeNr4OrisTXLvd9Wsrnnpb8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,16 Nov 🥳 • mengikuti,"bg top up in🥺.
jng di hujat guys🥺",7/26/2021,2,,
https://www.tiktok.com/@nerudia_,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/416afcbac8fad144c7ea5ae9ec2a6006~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=93ca36c4&x-expires=1755831600&x-signature=EZxCCsgBy%2Bzc6OMOymObmorODGU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Shaa_🅰️,sondnya😅😅,7/26/2021,2,,
https://www.tiktok.com/@iirmaajaa,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3d989e302301ad7e8c8d6ed192b55bb4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9f0d3b6a&x-expires=1755831600&x-signature=wU4Kcanzc4pnb7bi%2F4JVX9GTSRo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,𝐼𝓇𝓂𝒶,coba jajanan jadul bisa gak😳😏,7/28/2021,2,,
https://www.tiktok.com/@muzan07_,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/05f599132e3203594c28af969dc64fb6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9b9cd58c&x-expires=1755831600&x-signature=0LbEk1vc5aVm3cjyTy6afZBQFKg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Muzan07kibutsuji,mukanya kaya anak baik baik,7/26/2021,1,,
https://www.tiktok.com/@potatoesss_s,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fb6e9478b7a32263de7af38a33886028~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ba743379&x-expires=1755831600&x-signature=mzh1cT9qtpqp%2Fau8Pz8kP7fSi4g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,pinkyycherrishhh🌷🍒,"permen jadul kak
pllllllliiiiiisssss 😁😁😁",7/26/2021,1,,
https://www.tiktok.com/@sriernwt74,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/72da5f84cfb1241c043b81e31e6fe9a2~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0b1a354d&x-expires=1755831600&x-signature=GwhxbXpe5ZfVtTi31aZ1%2FDtdEy0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,sriernwt,itu chokodot bukan,7/27/2021,1,,
https://www.tiktok.com/@khanayafruitxx,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/f159dbdf8c939aa1b18332d0a29a3d9e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=02ffacee&x-expires=1755831600&x-signature=GYwT810p8lt4YW372CUikl5Y%2Ff0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ℕ𝕒𝕪𝕋𝕖𝕒𝕏𝕩🌵,sound nya membagongkan🗿,7/26/2021,2,,
https://www.tiktok.com/@nerudia_,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/416afcbac8fad144c7ea5ae9ec2a6006~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=95b03cdf&x-expires=1755918000&x-signature=qspBxLZA18DoYDVOVsQiZz58Yik%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my,Shaa_🅰️,sondnya😅😅,7/26/2021,2,,
https://www.tiktok.com/@erlinerlina11,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/e7767479772a5d139d1a662ca67bc2b2~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ad96ca72&x-expires=1755831600&x-signature=uadu6GrfnbjMrfNYnwEga12fbOs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,erlinerlina11,sondnya ga nyambung,7/26/2021,14,,
https://www.tiktok.com/@lvi4u,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/331074774cc49ab43780ea1388c7f3f0~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=99441411&x-expires=1755831600&x-signature=5wLcqk3dcME6uyJSXg4Hs4k248A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,upii,enak banget apalagi yang isinya dodol😭,7/27/2021,1,,
https://www.tiktok.com/@ampunbangjago686,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-aiso/b40b079b839444461ca89f98271882b1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9e22556b&x-expires=1755831600&x-signature=FOMGyyqb%2FUQoomX2IqMcVpF1Lnw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,bang jago,bang perawantan gigi bang,8/1/2021,1,,
https://www.tiktok.com/@romelithuwot,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-aiso/823504c91042e9f683685ab3827756e4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3924d8b6&x-expires=1755831600&x-signature=AevyVMnhcJgqiAzM0V%2FQ16F8mzE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,NANA 乂 JAWA𝐒𝐎𝐅T,kk permen jadul pelis,7/28/2021,1,,
