x1i10hfl href,xpdipgo src,_ap3a,x1i10hfl href 3,x1ejq31n,x1lliihq,x1lliihq 2,x1lliihq 6,source,x193iq5w,xdj266r,xz74otr src 2,x1i10hfl 2,x1i10hfl href 5,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,yt-core-attributed-string,css-1jxf684,css-175oi2r href,css-9pa8cd src,css-175oi2r href 2,css-1jxf684 2,css-1jxf684 3,css-146c3p1,css-1jxf684 4,css-146c3p1 href,css-1jxf684 5,css-175oi2r href 4,css-1jxf684 8,css-1jxf684 12,css-9pu1vy-StyledUserLinkAvatar href,css-11j0z2t-ImgAvatar src,css-1uxwbtk-SpanUserNameText,css-z35s28-PCommentText,css-ckdg7w-SpanCreatedTime,css-9pu1vy-StyledUserLinkAvatar href 2
https://www.instagram.com/rikibelen/,https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/289875880_723196948796105_7693243692200159986_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QH7PVUDu0cR8e78EqIInu1bvUDfn1-TydvCQwdPhLc_gv5HlAwI1s33vyJo2YIn5GQ&_nc_ohc=1P79H2dOdNUQ7kNvwEeaDv8&_nc_gid=oucy3IpRvCKvkfyX32ii5w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfXX0DuYR8dQEDnFvDN2SLx2vPAn1N7dC9W-u_w_dUk1Fg&oe=68B1A991&_nc_sid=10d13b,rikibelen,https://www.instagram.com/p/CKsPANyjw_y/c/17878915883122636/,237 ming,👍,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/kangdadanaza/,https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/456305366_498784459432920_4291197705098244391_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QH7PVUDu0cR8e78EqIInu1bvUDfn1-TydvCQwdPhLc_gv5HlAwI1s33vyJo2YIn5GQ&_nc_ohc=ovqkt8tNn38Q7kNvwHY8gnL&_nc_gid=oucy3IpRvCKvkfyX32ii5w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfWS8GeLMMMjx2RDAXm6DpbKhoOJBXONcMxCF2z7ZB2zCw&oe=68B197E9&_nc_sid=10d13b,kangdadanaza,https://www.instagram.com/p/CKsPANyjw_y/c/17919635689525180/,237 ming,Tiasa kirim luar kota...ka Jawa?,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/rickiy_bsb/,https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/521483335_18320698687231517_8180518292827835433_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDAwLmMyIn0&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QH7PVUDu0cR8e78EqIInu1bvUDfn1-TydvCQwdPhLc_gv5HlAwI1s33vyJo2YIn5GQ&_nc_ohc=x3DOXtu7V0MQ7kNvwEO-YqC&_nc_gid=oucy3IpRvCKvkfyX32ii5w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfVjO9BQgC3Th-vVsRWykK_Clk2yxNBRucmrhBt_q8XZwg&oe=68B1BBAD&_nc_sid=10d13b,rickiy_bsb,https://www.instagram.com/p/CKsPANyjw_y/c/17862646490374005/,237 ming,Harga na sabaraha an bos,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/ds_bourbon/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/273454832_952340445393491_2948525893480390281_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QH7PVUDu0cR8e78EqIInu1bvUDfn1-TydvCQwdPhLc_gv5HlAwI1s33vyJo2YIn5GQ&_nc_ohc=UVlIhuObjqgQ7kNvwGbrJHO&_nc_gid=oucy3IpRvCKvkfyX32ii5w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfVKgeK0Phy8t11SpV8QRcADvVqwvD3HMUuKOc2uS5Q8aQ&oe=68B1C1FC&_nc_sid=10d13b,ds_bourbon,https://www.instagram.com/p/CKsPANyjw_y/c/17916917785529211/,238 ming,Karek terang aya makanan eta...,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/gumilard.g.m_8/,https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/228221362_132739592339593_206404743889670878_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QH7PVUDu0cR8e78EqIInu1bvUDfn1-TydvCQwdPhLc_gv5HlAwI1s33vyJo2YIn5GQ&_nc_ohc=jAgzcqMpknoQ7kNvwGsmtiz&_nc_gid=oucy3IpRvCKvkfyX32ii5w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfVsShYsESPxktu0OVwOBF-ZIRMo3wFO_J3CgGcv23rwGw&oe=68B1C5AA&_nc_sid=10d13b,gumilard.g.m_8,https://www.instagram.com/p/CKsPANyjw_y/c/18046640308287358/,238 ming,👍👍,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/wanz_kurniiawann15/,https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-19/499359915_18083789419729358_170877911927447588_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QH7PVUDu0cR8e78EqIInu1bvUDfn1-TydvCQwdPhLc_gv5HlAwI1s33vyJo2YIn5GQ&_nc_ohc=GarWappS9XIQ7kNvwG2RDqS&_nc_gid=oucy3IpRvCKvkfyX32ii5w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfUkA1-B8VXWuBcYnnkRmA8FZIkYf1fRCDRZIcD7r50f0Q&oe=68B1B81C&_nc_sid=10d13b,wanz_kurniiawann15,https://www.instagram.com/p/CKsPANyjw_y/c/17895795589781103/,238 ming,Sabungkusna baraha mimin burayot dibdg mh hese,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/rikibelen/,https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/289875880_723196948796105_7693243692200159986_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QH7PVUDu0cR8e78EqIInu1bvUDfn1-TydvCQwdPhLc_gv5HlAwI1s33vyJo2YIn5GQ&_nc_ohc=1P79H2dOdNUQ7kNvwEeaDv8&_nc_gid=oucy3IpRvCKvkfyX32ii5w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfXX0DuYR8dQEDnFvDN2SLx2vPAn1N7dC9W-u_w_dUk1Fg&oe=68B1A991&_nc_sid=10d13b,rikibelen,https://www.instagram.com/p/CKsPANyjw_y/c/17866633175332766/,238 ming,Ti lles nya👍,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/daniyasinardian/,https://scontent-cgk1-1.cdninstagram.com/v/t51.2885-19/404977835_879999283397682_4486786054437752144_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41MzAuYzIifQ&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QH7PVUDu0cR8e78EqIInu1bvUDfn1-TydvCQwdPhLc_gv5HlAwI1s33vyJo2YIn5GQ&_nc_ohc=p2mAy6kaMrAQ7kNvwH_wTC5&_nc_gid=oucy3IpRvCKvkfyX32ii5w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfX7uSu8LzlA_2bqEuF99dJGI89bqFW65tkizSxedih_0A&oe=68B1BC8B&_nc_sid=10d13b,daniyasinardian,https://www.instagram.com/p/CKsPANyjw_y/c/17907171985629409/,238 ming,lezat 👌,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/demen.makan.id/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/91578312_1059491027766296_3308295140673585152_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=0mPUgcARPcoQ7kNvwEJnRRg&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfX-tJo33PDgZXAGK84biOlf-L4oOkJFfdh1nacxGayimA&oe=68B19E33&_nc_sid=10d13b,demen.makan.id,https://www.instagram.com/p/CF_A6pKhMIh/c/17844731678389438/,253 ming,Kirain cuma tahu bulat yg dadakan😂,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/makanjalanberdua/,https://scontent-cgk1-1.cdninstagram.com/v/t51.2885-19/501553133_18325625524200786_1755259557736436803_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=-3zZRZVNHGAQ7kNvwEm8Qx6&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfWaAiVegnx24VtrNdNr0SwJK88zsue7h9zn6z2vSPIxVA&oe=68B1C325&_nc_sid=10d13b,makanjalanberdua,https://www.instagram.com/p/CF_A6pKhMIh/c/17846752031344337/,254 ming,Seruu banget yah liat cara bikinnya ❤️,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
