x1i10hfl href,x193iq5w,xdj266r,x1i10hfl,x1i10hfl href 3,x3ajldb href 2,x1lliihq,x193iq5w 2,x1lliihq 2,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,platform,style-scope src,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,yt-core-attributed-string,style-scope 2,Unnamed: 7,Unnamed: 8,xpdipgo src,_ap3a,x1i10hfl href 2,_a9ze,css-1jxf684,css-175oi2r href,css-9pa8cd src,css-175oi2r href 2,css-1jxf684 2,css-1jxf684 3,css-146c3p1,css-1jxf684 4,css-146c3p1 href,css-1jxf684 href,css-1jxf684 5,css-1jxf684 href 2,css-1jxf684 6,css-1jxf684 8,css-175oi2r href 4,css-9pa8cd src 2,css-175oi2r href 5,css-175oi2r href 8,css-1jxf684 9,r-4qtqp9 src,css-146c3p1 2,css-1jxf684 10,r-4qtqp9 src 2,r-4qtqp9 src 3,css-1jxf684 11,css-1jxf684 12,css-1jxf684 13,css-1jxf684 14,css-1jxf684 15,css-9pu1vy-StyledUserLinkAvatar href,css-11j0z2t-ImgAvatar src,css-1uxwbtk-SpanUserNameText,css-z35s28-PCommentText,css-ckdg7w-SpanCreatedTime,css-1fhml0h-SpanCount,Unnamed: 6
https://www.facebook.com/groups/764105455312032/user/100092347533280/?__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,Afnan Hibrotul Awwabin,cek harga,17 minggu,https://www.facebook.com/groups/764105455312032/posts/1216062930116280/?comment_id=1216967956692444&__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,,,,,,,,,,,,,,,,,,,,,,,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/groups/764105455312032/user/100038009417369/?__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,Hendar Imel,1 kartun .berapa.,17 minggu,https://www.facebook.com/groups/764105455312032/posts/1216062930116280/?comment_id=1216264440096129&__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,[object Object],Dodoll Garut Gisann membalas,·,1 balasan,,,,,,,,,,,,,,,,,,,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/groups/764105455312032/user/100052260810447/?__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,Meisa Sari,Kartonan brpa,12 minggu,https://www.facebook.com/groups/764105455312032/posts/1216062930116280/?comment_id=1244474997275073&__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,[object Object],Dodoll Garut Gisann membalas,·,1 balasan,,,,,,,,,,,,,,,,,,,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/groups/764105455312032/user/61557141842542/?__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,Foridel Jaya,Karton brp om,17 minggu,https://www.facebook.com/groups/764105455312032/posts/1216062930116280/?comment_id=1216293843426522&__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,[object Object],Dodoll Garut Gisann membalas,·,1 balasan,,,,,,,,,,,,,,,,,,,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/groups/764105455312032/user/100042278649977/?__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,Danxer Asuba,Bertapa kk,17 minggu,https://www.facebook.com/groups/764105455312032/posts/1216062930116280/?comment_id=1216250673430839&__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,[object Object],Dodoll Garut Gisann membalas,·,1 balasan,,,,,,,,,,,,,,,,,,,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/groups/764105455312032/user/1681036125/?__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,Anggie Dewi Anggraeni,Lok mana,17 minggu,https://www.facebook.com/groups/764105455312032/posts/1216062930116280/?comment_id=1216769710045602&__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,[object Object],Dodoll Garut Gisann membalas,·,3 Balasan,,,,,,,,,,,,,,,,,,,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/groups/764105455312032/user/100056832284849/?__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,Juwita,Brp harga nya kk sekilo,14 minggu,https://www.facebook.com/groups/764105455312032/posts/1216062930116280/?comment_id=1232798651776041&__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,,,,,,,,,,,,,,,,,,,,,,,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/groups/764105455312032/user/61561413852986/?__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,Kamal Rifin,Bisa cod gk kk k sulteng,17 minggu,https://www.facebook.com/groups/764105455312032/posts/1216062930116280/?comment_id=1219992566389983&__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,,,,,,,,,,,,,,,,,,,,,,,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/groups/764105455312032/user/100042278649977/?__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,Danxer Asuba,Jarga kk,17 minggu,https://www.facebook.com/groups/764105455312032/posts/1216062930116280/?comment_id=1216250636764176&__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,,,,,,,,,,,,,,,,,,,,,,,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/groups/764105455312032/user/100068878696581/?__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,Bulan Mas,Lemak sapi redy,17 minggu,https://www.facebook.com/groups/764105455312032/posts/1216062930116280/?comment_id=1218869279835645&__cft__[0]=AZUuN5-MLV9IdutDt3Qu8lJbXNnbplWVQv4NvJaifLkU1dJn5UFFMDXC1uBhPMkEqXSgbVT-ncBmTEKSsfVRp1379axx28-gKnxXsjpNalGAILplQpkV9gChCwc1n6j8xq5QIaia-YCNC3Hsimg7Q6VSMJ464sBHgfeSwfUS50pkFA&__tn__=R]-R,,,,,,,,,,,,,,,,,,,,,,,facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
