css-9pu1vy-StyledUserLinkAvatar href,css-11j0z2t-ImgAvatar src,css-1uxwbtk-SpanUserNameText,css-z35s28-PCommentText,css-ckdg7w-SpanCreatedTime,css-1fhml0h-SpanCount,,,,,,,,,,,
https://www.tiktok.com/@mamaclarissa02,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6f9c75d0298410a310e59ef40d289ec6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=286c983f&x-expires=1755824400&x-signature=WNnTSAGI3S6xY1I85tlIEKpIU9g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,mama Clarissa💞,gak enak anjir baso Aci nya tengik Kya udh gk bisa di mkn lgi😭,4-Mar,250,,,,,,,,,,,
https://www.tiktok.com/@ecca230,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9997c24aeefe1e76cb9605361848cf64~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1d399179&x-expires=1755824400&x-signature=dll9GagYUFxaQ55PcEqPZDlwzaU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ecca,belum pernah nyoba enak gak kak,10/15/2024,166,,,,,,,,,,,
https://www.tiktok.com/@atharizz050212,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4bacf23f0ebaa45e0b0179ed8db78c64~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8612dbd4&x-expires=1755824400&x-signature=on8yBp%2FMmXNQHiDVMdUPbetUjEk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Atharizz050212,aku 500 perak,1-Jun,0,,,,,,,,,,,
https://www.tiktok.com/@yaanniiii8,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/904ff482b1ec01b7aaf10fb068d9f7c6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=594d6252&x-expires=1755824400&x-signature=9FlQItYZNM5IAlhFLit%2FpIL7x6k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,yaanniiii,aku dh pernah beli yg kyk gini tapi nyampe nya lama alhasil pas dh nyampe eh berjamur😭😭,10/1/2024,91,,,,,,,,,,,
https://www.tiktok.com/@bismilah6531,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4bba0c4c76370025972ce77a39cd6d9a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c0dbf9a5&x-expires=1755824400&x-signature=%2FHU3HOWTz1Bol9w%2BzvRTIN9hxCE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Ds samudra,baru saja aku habis mkn boci trus cara msk nya aku seduh pk air mndidih tp knp mentah y boci nya,10/1/2024,17,,,,,,,,,,,
https://www.tiktok.com/@ipah.kholipah78,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4980a7a6093de5dab6737aafada2c881~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6e0a4acd&x-expires=1755824400&x-signature=dOd5gT8iYu1s2%2FOofTG740uVj68%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,kholifahh,"harga : 27.500
ongkir : 1.000",3-Jul,4,,,,,,,,,,,
https://www.tiktok.com/@24kharisma,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9265e5882a3d2a4a44519e901128ff7e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ed9abe65&x-expires=1755824400&x-signature=pSniTFZG4t1qOB7tnoUcr3%2FiN0Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,fanis.,itu isinya dikit g si kak ????,10/15/2024,24,,,,,,,,,,,
https://www.tiktok.com/@user5837407549740,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b347a308ed68c89163716ca4bbb7b796~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bba6f796&x-expires=1755824400&x-signature=3SC2%2Fia%2BNrvyy3pcpBvSjJg09i4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,sati nurningsih,ku kira daging pada hal tepung pentolx kk,10/31/2024,7,,,,,,,,,,,
https://www.tiktok.com/@maulidda.indah.is,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/54ce74ceec5a45e7b8984430791ec800~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a4f137bc&x-expires=1755824400&x-signature=6E8%2FMj%2BmUfwpTm7u4lujZPcDHpo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,jibss,di aku 27 ribu geratis ongkir,8-Jul,0,,,,,,,,,,,
https://www.tiktok.com/@dwiutamitlsm,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/604b24411594cc6c2bdb815e75900d91~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=20bb1a05&x-expires=1755824400&x-signature=tkXee3R8qXhpFXKdT24AzCqCSXs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,dwiutamitlsm,Aku gratis ongkir tapi aman ga sampe sulawesi ? Takut pas nyampe jadi basi,9/30/2024,22,,,,,,,,,,,
